CargoNombre,Nombre,Partido,ID,Grado
Senador,Longton Alfonso De Urresti,PS,112234,DIETA PARLEMENTARIA
Senador,Alberto Espina Otero,RN,98426,DIETA PARLEMENTARIA
Senador,Sanfuentes Alejandro García Huidobro,UDI,102556,DIETA PARLEMENTARIA
Senador,José García Ruminot,RN,36772,DIETA PARLEMENTARIA
Senador,Guido Girardi Lavín,PPD,102628,DIETA PARLEMENTARIA
Senador,Carolina Goic Boroevic,PDC,113311,DIETA PARLEMENTARIA
Senador,Alejandro Guillier Álvarez,Ind.,19060,DIETA PARLEMENTARIA
Senador,Felipe Harboe Bascuñán,PPD,119090,DIETA PARLEMENTARIA
Senador,Antonio Horvath Kiss,Ind.,34952,DIETA PARLEMENTARIA
Senador,Ricardo Lagos Weber,PPD,106850,DIETA PARLEMENTARIA
Senador,Hernán Larraín Fernández,UDI,85265,DIETA PARLEMENTARIA
Senador,Juan Pablo Letelier Morel,PS,100259,DIETA PARLEMENTARIA
Senador,Manuel Antonio Matta Aragay,PDC,84373,DIETA PARLEMENTARIA
Senador,Carlos Montes Cisternas,PS,112440,DIETA PARLEMENTARIA
Senador,Iván Moreira Barros,UDI,55947,DIETA PARLEMENTARIA
Senador,Adriana Muñoz D`Albora,PPD,99206,DIETA PARLEMENTARIA
Senador,Alejandro Navarro Brain,PAIS (en formación),106021,DIETA PARLEMENTARIA
Senador,Jaime Orpis Bouchon,UDI,90762,DIETA PARLEMENTARIA
Senador,Manuel José Ossandón Irarrázabal,RN,116058,DIETA PARLEMENTARIA
Senador,Martín Lily Pérez San,Amplitud,64843,DIETA PARLEMENTARIA
Senador,Víctor Pérez Varela,UDI,100514,DIETA PARLEMENTARIA
Senador,Jorge Pizarro Soto,PDC,51506,DIETA PARLEMENTARIA
Senador,Baldo Prokurica Prokurica,RN,21849,DIETA PARLEMENTARIA
Senador,Jaime Quintana Leal,PPD,106924,DIETA PARLEMENTARIA
Senador,Rabindranath Quinteros Lara,PS,102484,DIETA PARLEMENTARIA
Senador,Fulvio Rossi Ciocca,PS,87104,DIETA PARLEMENTARIA
Senador,Eugenio Tuma Zedán,PPD,100778,DIETA PARLEMENTARIA
Senador,Herrera Jacqueline Van Rysselberghe,UDI,98736,DIETA PARLEMENTARIA
Senador,Jahn Ena Von Baer,UDI,111720,DIETA PARLEMENTARIA
Senador,Ignacio Walker Prieto,PDC,79991,DIETA PARLEMENTARIA
Senador,Patricio Walker Prieto,PDC,80205,DIETA PARLEMENTARIA
Senador,Andrés Zaldívar Larraín,PDC,12376,DIETA PARLEMENTARIA
