Declaracion,NombreDeclarante,ApellidoPaternoDeclarante,ApellidoMaternoDeclarante,CantidadQueRepresenta,EntidadQueEmite,FechaAdquisicion,PaisQueEmite,TipoValor,TipoGravamen,ValorPlaza
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,ARÉVALO,ADASME,"344,55",BANCO DE CHILE,21/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,9045722
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,AREVALO,ADASME,"344,55",BANCO DE CHILE,21/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,9045722
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,ARÉVALO,ADASME,"344,55",BANCO DE CHILE,21/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,9045722
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,AREVALO,ADASME,"344,55",BANCO DE CHILE,21/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,9045722
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,ARÉVALO,ADASME,15915,BANCO DE CHILE,26/09/2016,CHILE,CUOTAS DE FONDOS MUTUOS,NINGUNO ,10497300
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,AREVALO,ADASME,15915,BANCO DE CHILE,26/09/2016,CHILE,CUOTAS DE FONDOS MUTUOS,NINGUNO ,10497300
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,ARÉVALO,ADASME,15915,BANCO DE CHILE,26/09/2016,CHILE,CUOTAS DE FONDOS MUTUOS,NINGUNO ,10497300
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,AREVALO,ADASME,15915,BANCO DE CHILE,26/09/2016,CHILE,CUOTAS DE FONDOS MUTUOS,NINGUNO ,10497300
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,ARÉVALO,ADASME,"1003,31",BANCO DE CHILE,24/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,26339895
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,AREVALO,ADASME,"1003,31",BANCO DE CHILE,24/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,26339895
