name,url
Cabinet members of Commissioner Margrethe Vestager,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=74d81d51-18b9-4a85-8983-b26b42f4efe5
Commissioner Carlos Moedas,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=375218b1-5b9b-4f1f-8701-cda656622c9a
Cabinet members of Commissioner Carlos Moedas,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=39401b95-74dc-4360-8ce2-aca281bc05c1
acting Director-General Ladislav Miko,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=357c8eea-da5c-49bc-9d63-a5c1b76c770e&startDate=01-11-2014
Director-General Monique Pariat,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=51cc23ae-3362-48ae-acee-c9843ae54827
Philippe Taverne,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=35e322b6-e216-42e2-9b87-b21c41ac0d2a
Director-General Rudolf Strohmeier,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5c328854-7554-4e37-8142-02605dd76334
Director-General Rytis Martikonis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=0fbdad0a-4342-4091-b766-91b393b97617
Director-General Jerzy Bogdan Plewa,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e5538979-4674-413c-9912-75853e91bdc5
Director-General Nadia Maria Calvino Santamaria,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=1eefac79-31f7-41ef-b1f0-3d1270ce33a9
Director-General Jos Delbeke,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=d41e42be-7ff1-4635-bb4f-e47d38f886ed
Director-General Gregory Paulger,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=96774901-848c-400f-a005-0a51d74dede7
Timo Pesonen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=2aac00d9-fbaf-425f-af65-c697a37d51bb
Director-General Roberto Viola,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=aae7124c-b839-4139-9ffe-ad5660fe9404
Director-General Johannes Laitenberger,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ffdb1b81-84a9-4ce1-8974-164aa26ce7e8
Director-General Marco Buti,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e2ac53f7-cf9c-4aa7-a7fd-06a355c8b361
Director-General Michel Servoz,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=6c877f62-58d1-4645-aa27-bbbc7b872de3
Director-General Dominique Ristori,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f
Director-General Daniel Calleja Crespo,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ca175ad3-c2c5-457e-8f6d-f17956bdcc4e
Director-General Olivier Guersent,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=1451b45a-b39b-48ee-a50a-00a440ef2f09
Director-General Ladislav Miko,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=357c8eea-da5c-49bc-9d63-a5c1b76c770e
Director-General Lowri Evans,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=66b9a93e-bac3-4820-8f21-9576b54e3428
Director-General Stefano Manservisi,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=19bd5d17-a3ef-4a2b-899c-28126a38b0c2
Director-General Vladimir \u0160ucha,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=30674a4b-0bbe-4243-9500-704f334ced64
Director-General Joao Aguiar Machado,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=0bdcfdaf-b25f-4fa4-9843-6d8aff622df9
Director-General Alfred Matthias Ruete,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=4a2b905b-d91f-421a-870a-3f9387018669
Director-General Christian Danielsson,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e780754a-50f5-41fe-b42f-8ffe6165ad35
Director-General Marc Lemaître,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=836198d9-3839-4b03-861c-7d7b2dc923bf
Director-General Robert-Jan Smits,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=9c8a817a-8b63-494f-b8aa-7f1d9a3d4aa7
Director-General Stephen Quest,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=8d411331-1f9c-49ad-bf3f-54c9723c5496
Director-General Jean-Luc Demarty,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5f4689e0-014c-4bec-8125-f9e6d3592c86
Director-General Gertrud INGESTAD,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=06fb3b80-76a8-43f1-b1a5-e703cfe8d625
Director-General Tiina ASTOLA,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b7f75e74-dd34-4911-8942-3b84e241424d
Director-General Henrik Hololei,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ed82401c-d412-44bd-bdbc-3d0c5d051337
