id,contact_country,sub_category,sub_category_title,acronym,name,main_category,cost_min,cost_max,cost_absolute,fte,acc_count,code,status,country,accredited
fb8767708aba4a46ba9ea374218194dc,IT,31,"Non-governmental organisations, platforms and networks and similar",MNLF,Movimento Nazionale Liberi Farmacisti,3,,9999,,0.75,0,7247217279-56,active,108,
0b84f02f9b4a42d7936ed820922d5b49,NL,21,Companies & groups,SR,Strukton Rail,2,25000,49999,,0.25,0,0804666277-93,active,155,
08fb363b4a2f4f62b8fd30a344fb3aed,DE,31,"Non-governmental organisations, platforms and networks and similar",TAE,Taxpayers Association of Europe,3,,9999,,0.5,0,5903604107-54,active,82,
0e965d9019c64013aba7ff519c76b29f,GB,25,Trade and business organisations,ISLA,International Securities Lending Association,2,800000,899999,,2.25,0,575888466-70,active,233,
6ec1f724ca204418a2fedfecdcae8587,BE,25,Trade and business organisations,WEEE Forum,WEEE Forum aisbl,2,,9999,,0.25,0,702397445-73,active,21,
0fd22fbca6f64faea82b25e3e037a702,ES,31,"Non-governmental organisations, platforms and networks and similar",,EUROSENIOR,3,,9999,,2.5,0,431774426-08,active,209,
95aa7f587ee24a5ba9282ff5d8a6f36a,BE,25,Trade and business organisations,,Independent Retail Europe (formerly UGAL - Union of Groups of Independent Retailers of Europe),2,,,735500,5,4,034546859-02,active,21,
9e9eae7e41ed44818426c00dd86b9d01,IT,11,Professional consultancies,EuroProjects,EuroProjects Srl,1,10000,24999,,2.5,0,303833890-77,active,108,
dbaaba928d54456c87f7f65a6d274071,NL,11,Professional consultancies,Exelcom,Exelcom Public Affairs,1,,,10000,1,0,259300241-47,active,155,
490f9e54c2c04fbfbe677d8f218a043b,BE,31,"Non-governmental organisations, platforms and networks and similar",EHN,European Heart Network,3,,,180000,2,4,3606882168-35,active,21,
677d1e52327249d88f63e97f788de284,LU,25,Trade and business organisations,ABBL,"Association des Banques et Banquiers, Luxembourg",2,900000,999999,,6.25,2,3505006282-58,active,127,
9246e061f162490cb5b0c87f90d215e4,HU,41,Think tanks and research institutions,CoG,Council of Geopolitics,4,25000,49999,,19.25,0,6757761112-79,active,99,
68bc5dfb3b4b47d2a86f779211ed383e,BE,64,Other sub-national public authorities,VRT,Vlaamse Radio- en Televisieomroeporganisatie,6,25000,49999,,1.5,0,3260509286-84,active,21,
9d85e0874494404b8e86fbae9c032c57,DE,25,Trade and business organisations,BFB,Bundesverband der Freien Berufe,2,,,120000,1.25,1,8116814461-28,active,82,
2116350be80649448c01abd2b6153acb,SE,25,Trade and business organisations,FHF,Svenska Fondhandlareföreningen,2,900000,999999,,4,0,7777147632-40,active,214,
605251a3bc794bc489fc05301de36b1e,BE,25,Trade and business organisations,AmCham EU,American Chamber of Commerce to the European Union,2,1000000,1249999,,8.5,11,5265780509-97,active,21,
85eb7f9b106e4a3db3dd3f178eaedd04,BE,25,Trade and business organisations,Freshfel,Freshfel Europe - the forum for the European fresh fruits and vegetables chain,2,300000,399999,,5.25,4,1637225479-02,active,21,
61ff60f55755419a93515c940635ff16,BE,41,Think tanks and research institutions,The Lisbon Council,The Lisbon Council for Economic Competitiveness and Social Renewal asbl,4,1000000,1249999,,6,0,6766950469-32,active,21,
ce1513bdff404600b9b306e921f5a857,ES,31,"Non-governmental organisations, platforms and networks and similar",POAS,PLATAFORMA DE ONG DE ACCION SOCIAL,3,,,4646,0.25,0,7206466623-36,active,209,
ddf38566ed8a4c47987ddd95c98b2eb7,FR,31,"Non-governmental organisations, platforms and networks and similar",Ipse,Institut de la Protection Sociale Européenne,3,,9999,,5,0,1440784614-93,active,75,
9a4f52fb200e414d9fbc5d966131214b,FR,31,"Non-governmental organisations, platforms and networks and similar",AREPO,Association des régions européennes des produits d'origine,3,100000,199999,,2.75,1,3265773534-15,active,75,
11037379ab114cc699199d4f449344bb,FR,25,Trade and business organisations,AMAFI,Association Française des Marchés Financiers,2,300000,399999,,1.5,0,1992865484-43,active,75,
8751dab9e3d34c7194674fcfe10338f3,DE,21,Companies & groups,LHG,Lufthansa Group,2,300000,399999,,3,2,0714344663-32,active,82,
0c81e39da5414fd985bde0d359fb2a28,BE,25,Trade and business organisations,CFE,Confédération Fiscale Européenne,2,100000,199999,,2,0,3543183647-05,active,21,
410c8f0ae8c44bfeb5b3d1055de51670,BE,25,Trade and business organisations,Assuralia,"Assuralia, beroepsvereniging van verzekeringsondernemingen",2,200000,299999,,3.5,0,0026376672-48,active,21,
789c7b350568453cb28766fe592c6bd0,BE,25,Trade and business organisations,CEPF,Conféderation Européenne des Propriétaires Forestiers,2,300000,399999,,4,4,3647455667-08,active,21,
c8700052d1734fa881e48f8d5bde38d6,DE,25,Trade and business organisations,PPA-Europe,European Association for Panels and Profiles,2,10000,24999,,1.25,0,1083333660-35,active,82,
ed84c5ea6c6c404f8d62a254f183ed57,GB,21,Companies & groups,BP,BP p.l.c.,2,2750000,2999999,,5.25,4,3394026642-58,active,233,
3719c858b69c484fa790a502efae6444,BE,31,"Non-governmental organisations, platforms and networks and similar",QCEA,Quaker Council for European Affairs,3,100000,199999,,2.5,3,3960234639-24,active,21,
035fe734fc1f412c9fb944b07f58e78e,ES,25,Trade and business organisations,CETM,CONFEDERACION ESPAÑOLA DE TRANSPORTE DE MERCANCIAS,2,25000,49999,,1.25,0,4593317661-25,active,209,
b1fb8d0a11844684877bdf45d60810d9,IT,25,Trade and business organisations,FEDERCHIMICA,Federazione Nazionale dell'Industria Chimica italiana,2,300000,399999,,1,2,9931891670-73,active,108,
82a89f24d9fb422e925fd3f0a7dafef7,DE,25,Trade and business organisations,EWIMA,European Writing Instrument Manufacturer's Association,2,,,3000,0.25,0,8203543301-90,active,82,
1af8deae4b494735949933d9b786036b,GB,25,Trade and business organisations,SFF,Scottish Fishermen's Federation,2,700000,799999,,5.25,0,8934001343-93,active,233,
1742c4e55b744063a6c757ce939ef91c,BE,31,"Non-governmental organisations, platforms and networks and similar",OSEPI,Open Society European Policy Institute,3,2250000,2499999,,17.75,9,8557515321-37,active,21,
9e130116bef14449b70022cf50b60a8c,FR,25,Trade and business organisations,EACT,European Association of Corporate Treasurers,2,100000,199999,,1.25,1,9160958318-89,active,75,
55f5ded7cc8c4100ae9d742ae9adfd0b,NL,13,Self-employed consultants,E-EM,E-Energy Market BV,1,,9999,,0.25,0,5385600307-07,active,155,
b0ce5e47d7294910b5e265ea8067fac3,FR,25,Trade and business organisations,AFTE,Association Française des Trésoriers d'Entreprise,2,10000,24999,,1,0,4479912317-33,active,75,
649f5f299622403a8613cf687b3bb9f4,BE,31,"Non-governmental organisations, platforms and networks and similar",FoEE,Friends of the Earth Europe,3,,,764961,5.75,13,9825553393-31,active,21,
677ae5be1f884d8884199f9f67e30575,GB,25,Trade and business organisations,EPC,European Publishers Council,2,400000,499999,,2.25,0,4456380381-30,active,233,
3aad50ee5fcc4fa3b1688d52607bfeed,GB,25,Trade and business organisations,ILAG,Investment & Life Assurance Group Limited,2,,9999,,0.25,0,1594596378-53,active,233,
499df17aca8f41708d87f916c1ff0334,GB,21,Companies & groups,BG,Baillie Gifford & Co,2,,9999,,0.5,0,2196343364-01,active,233,
10bc38c89337473b8d64033d49dd6991,IT,31,"Non-governmental organisations, platforms and networks and similar",V.d.E.,Volontari d'Europa - Onlus,3,,9999,,0.5,0,6307854359-58,active,108,
0f234ccc1df34d5a967cf6b6832d5021,DE,25,Trade and business organisations,VVTN,Verband der Verarbeitungsbetriebe Tierischer Nebenprodukte e.V.,2,,,500,1.5,0,7413071416-61,active,82,
2e2fd6a78df84d88810830dd73d0a4fe,DE,25,Trade and business organisations,MV,MARKENVERBAND,2,,9999,,1.25,0,2157421414-31,active,82,
58a4aa400cba4710b8c28139cb8a3c25,DE,21,Companies & groups,,DATEV eG,2,200000,299999,,2.25,3,5027241291-41,active,82,
b0be3a1c98914735bce33ac3eb18f48c,HK,21,Companies & groups,HEBB,Hutchison Europe - Brussels Branch,2,200000,299999,,3.25,3,3779891566-57,active,98,
49e24553ecc046ecbbea52ddbba9fbca,BE,25,Trade and business organisations,PEARLE*,Pearle*-Live Performance Europe (Performing Arts Employers Associations League Europe),2,50000,99999,,1,2,4817795559-48,active,21,
6246fcc01b9f4129a4ce99c4d3892183,US,21,Companies & groups,Genzyme,SANOFI GENZYME,2,400000,499999,,1,0,2946627525-90,active,234,
9da7360902324bbabd366d877130e9c3,BE,25,Trade and business organisations,,EPIA SolarPower Europe,2,500000,599999,,9.25,8,2680046412-48,active,21,
c08665171233474b856def5f7212b590,DE,31,"Non-governmental organisations, platforms and networks and similar",KNH,Kindernothilfe,3,,9999,,0.75,0,6583411675-48,active,82,
4288e87111564dfba97c7eb3f3f75d89,DE,27,Other in house lobbyists,VDE,VDE Verband der Elektrotechnik Elektronik Informationstechnik,2,100000,199999,,1,2,1059364571-78,active,82,
fc3c6029946b47e6814b6f47398279af,BE,25,Trade and business organisations,CCBE,Council of Bars and Law Societies of Europe,2,200000,299999,,2,5,4760969620-65,active,21,
6dc106e92d684e2bafc82b4fdd8ba367,BE,21,Companies & groups,,ABB,2,500000,599999,,2,3,7790041608-14,active,21,
4f9db04885f34280a0074efe8f088579,BE,31,"Non-governmental organisations, platforms and networks and similar",,Greenpeace European Unit,3,,,594233,7,12,9832909575-41,active,21,
6ab5f09b55824f95b227c953b4097ceb,BE,25,Trade and business organisations,ECPA,European Crop Protection Association,2,600000,699999,,3,6,0711626572-26,active,21,
5b926291742246faae579d445c5d41a2,NL,21,Companies & groups,,Airbus Group N.V.,2,1750000,1999999,,6.5,12,2732167674-76,active,155,
a174e0b529944651bd9e5633fcbb030e,FR,26,Trade unions and professional associations,UIC,Union des Industries Chimiques,2,100000,199999,,2,1,0935153658-47,active,75,
787c6085afc94c298e9930e1cd8bd73f,BE,31,"Non-governmental organisations, platforms and networks and similar",ACT Alliance EU,ACT Alliance Advocacy to the European Union,3,900000,999999,,7.25,6,5189768701-12,active,21,
595802b4e3704342a0aafaf50d9e05f8,FR,31,"Non-governmental organisations, platforms and networks and similar",Efus,Forum Européen pour la Sécurité Urbaine,3,,9999,,1,0,4900814699-31,active,75,
10e73a9f17f24c58a747a458c89c6ab8,BE,25,Trade and business organisations,EURELECTRIC,EURELECTRIC aisbl,2,500000,599999,,4.5,19,4271427696-87,active,21,
