id,contact_country,sub_category,acronym,name,main_category,cost_min,cost_max,cost_absolute
fa942f83a08442869d138870b8419960,21,13,,ALTERTOX,1,,,80000
fa942b3ad9964d6e802e95e319c7c4f5,21,31,EChr,European Club for Human Resources,3,10000,24999,
fa8292db7783421a95bafd2954eee8be,108,31,BELLITALIANA,Bellezza Italiana,3,,9999,
fa66cce04c6c4ff7b23c1976039e7c6c,176,31,ISOC-PL,Internet Society Poland,3,,9999,
fa5be1efbc484ebfaef9d07e1fa9aaf6,82,21,,Nordzucker AG,2,,,100000
fa57c002167f4dfc858d1b036caed2b1,21,24,ECPA,European Card Payment Association,2,,9999,
fa568e9f91744347bd77f0eae2f4f251,21,22,egta,association of television and radio sales houses,2,,9999,
fa56416dfbbd4c709d63ff6a99de1d5e,176,11,FIRST PR,FIRST Public Relations,1,,9999,
fa54ee781b06462ca322218656bcf6e7,21,22,EurECCA,European Cabin Crew Association,2,50000,99999,
fa50a6011bb545b49ba8a1acb1621072,21,11,,acumen public affairs,1,200000,299999,
fa4166d5fcb74e4ea89fd5fe0e84f225,215,21,,AlpVision SA,2,,9999,
fa3d81fad0ca49349e657458b5710f2b,108,21,VITA,Vita Società Editoriale,2,,,0
fa3ba49879924f28b3fc557c7150c775,21,31,OSEPI,Open Society European Policy Institute,3,,9999,
fa30ac2918dd4865964af6dd2d16ff6a,21,11,,Grayling,1,2250000,2499999,
fa2fc208dc1c4b3ab936403f64e2efdf,21,51,RCCEI,Church of Cyprus to the E.U. in Brussels,5,,9999,
fa27c5fb16824b36830d36c27aa96519,233,22,ECCH,European Central Council of Homeopaths,2,10000,24999,
fa1a9924e2ca485989c6aaee71049145,59,22,CAU,Cabin Union Denmark,2,,9999,
fa1893f77fcc4e758a963dce6867a009,21,22,CEPF,Conféderation Européenne des Propriétaires Forestiers,2,300000,399999,
fa0165a8b5ad4ed190dd46eeb9a5f492,127,31,EPF,European Patients’ Forum,3,,9999,
f9f79d0968ac4e8081a489b92fe22c63,21,31,EQAR,European Quality Assurance Register for Higher Education,3,,9999,
f9d8a52174b5461e815683dc244e80b6,233,11,,Inline Policy,1,,9999,
f9d72c9b761e4f3ab7225b20b74d0dae,75,22,FNSEA,Fédération Nationale des Syndicats d'Exploitants Agricoles,2,100000,199999,
f9d57737a8ed475898511a1b5a531637,215,31,GAIN,Global Alliance for Improved Nutrition,3,,9999,
f9d0319ba5024d66806662ff0d135ef4,104,31,GYO,Global Youth Organization,3,,9999,
f9cd52a26c1f4bce9cd9cc757e47dfa0,127,11,,Taxand,1,10000000,,
f9c9652c30b64767a836a9e870023989,14,31,VIER PFOTEN,VIER PFOTEN International,3,100000,199999,
f9c6d3ee4c464d27892fbd1c1cd26be6,21,21,Holcim,Holcim,2,200000,299999,
f9bc7ae7c091462796f2ac068949c1d6,82,61,IFATSEA,International Federation of Air Traffic Safety Electronics Associations,6,,,30000
f9b8e1c5d8a446928294427eac9fac81,75,21,,Danone,2,200000,299999,
f9b4c8b72cb343d1969b78faaa034bf6,180,31,CRCC,Camera de Comert si Industrie Bilaterala Romania-Columbia,3,,,9000
f99718d7e615436aa9c3cf4a4a2d7546,21,31,EPF,European Passengers' Federation,3,,9999,
f9937bd4ec45423399237e0a4f96b395,75,11,,Global Warning,1,,9999,
