Name,ID
Enikő GYŐRI,96830
András GYÜRK,23816
Takis HADJIGEORGIOU,96907
Gerald HÄFNER,96758
Carl HAGLUND,96683
Fiona HALL,28477
Thomas HÄNDEL,96851
Małgorzata HANDZLIK,28275
Ágnes HANKISS,96707
Daniel HANNAN,4555
Malcolm HARBOUR,4538
Marian HARKIN,28116
Rebecca HARMS,28233
Lucas HARTONG,103132
Satu HASSI,28321
Jutta HAUG,1914
Martin HÄUSLING,96752
Heidi HAUTALA,2054
Jiří HAVEL,96714
Anna HEDH,28131
Eduard-Raul HELLVIG,37448
Roger HELMER,4516
Jacky HÉNIN,28215
Jeanine HENNIS-PLASSCHAERT,28176
Edit HERCZOG,28155
Esther HERRANZ GARCÍA,22418
Jolanta Emilia HIBNER,96753
Balázs HIDVÉGHI,124586
Jim HIGGINS,28117
Joe HIGGINS,96669
Nadja HIRSCH,96872
Liem HOANG NGOC,96950
Elie HOARAU,96881
Monika HOHLMEIER,96780
Gunnar HÖKMARK,28124
Mary HONEYBALL,5846
Brice HORTEFEUX,5565
Richard HOWITT,2073
Danuta Maria HÜBNER,96779
Ian HUDGHTON,2338
Stephen HUGHES,1407
Filiz HYUSMENOVA,34249
Salvatore IACOLINO,96818
Anna IBRISAGIC,28125
Stanimir ILCHEV,34235
Juozas IMBRASAS,96693
Sophia in 't VELD,28266
Iliana IOTOVA,38605
Vincenzo IOVINE,97130
Iñaki IRAZABALBEITIA FERNÁNDEZ,119875
María IRIGOYEN PÉREZ,105192
Ville ITÄLÄ,28313
Carlos ITURGAIZ,28398
Cătălin Sorin IVAN,96857
Iliana IVANOVA,96834
Liisa JAAKONSAARI,96684
Anneli JÄÄTTEENMÄKI,28314
Yannick JADOT,96740
Peter JAHR,96772
Lívia JÁRÓKA,28141
Ramón JÁUREGUI ATONDO,97078
Danuta JAZŁOWIECKA,96781
Sidonia Elżbieta JĘDRZEJEWSKA,96782
Elisabeth JEGGLE,4271
Rumiana JELEVA,38609
Anne E. JENSEN,4440
Teresa JIMÉNEZ-BECERRIL BARRIO,96806
Kent JOHANSSON,110365
Eva JOLY,96883
Dennis de JONG,96748
Romana JORDAN,28291
Dan JØRGENSEN,28156
Oriol JUNQUERAS VIES,96708
Philippe JUVIN,96884
Jelko KACIN,23691
Filip KACZMAREK,28280
Karin KADENBACH,97014
Ivailo KALFIN,96807
Jarosław KALINOWSKI,96771
Sandra KALNIETE,96934
Syed KAMALL,33569
Michał Tomasz KAMIŃSKI,23792
Patricia van der KAMMEN,115868
Petra KAMMEREVERT,96837
Othmar KARAS,4246
Rina Ronja KARI,122885
Sajjad KARIM,28481
Krišjānis KARIŅŠ,96901
Ioannis KASOULIDES,28474
Martin KASTLER,25919
Metin KAZAK,38613
Tunne KELAM,28424
Ska KELLER,96734
Alan KELLY,96667
Seán KELLY,96668
Nicole KIIL-NIELSEN,96737
Evgeni KIRILOV,34231
Timothy KIRKHOPE,4542
Christa KLASS,1929
Mojca KLEVA KEKUŠ,23413
Wolf KLINZ,28244
Jürgen KLUTE,96769
Dieter-Lebrecht KOCH,1852
Silvana KOCH-MEHRIN,28241
Annette KOEWIUS,123816
Jaromír KOHLÍČEK,28331
Lena KOLARSKA-BOBIŃSKA,96785
Maria Eleni KOPPA,39319
Eija-Riitta KORHOLA,4260
Ádám KÓSA,96829
Elisabeth KÖSTINGER,96882
Georgios KOUMOUTSAKOS,97011
Béla KOVÁCS,102887
Andrey KOVATCHEV,97968
Paweł Robert KOWAL,96793
Sergej KOZLÍK,23873
Jan KOZŁOWSKI,101954
Edvard KOŽUŠNÍK,96704
Holger KRAHMER,28247
Rodi KRATSA-TSAGAROPOULOU,4482
Constanze KREHL,1854
Wolfgang KREISSL-DÖRFLER,1935
Werner KUHN,96767
Eduard KUKAN,96651
Jacek Olgierd KURSKI,96795
Alain LAMASSOURE,1204
Jean LAMBERT,4531
Philippe LAMBERTS,96648
Stavros LAMBRINIDIS,28576
Alexander Graf LAMBSDORFF,28242
Vytautas LANDSBERGIS,23746
Bernd LANGE,1909
Esther de LANGE,38398
Werner LANGEN,1928
Claus LARSEN-JENSEN,122404
Giovanni LA VIA,96816
Agnès LE BRUN,105849
Kurt LECHNER,4283
Stéphane LE FOLL,28162
Constance LE GRIP,101580
Ryszard Antoni LEGUTKO,96796
Klaus-Heiner LEHNE,2224
Patrick LE HYARIC,96735
Jörg LEICHTFRIED,28251
Jo LEINEN,4262
Corinne LEPAGE,97076
Jean-Marie LE PEN,1023
Marine LE PEN,28210
Janusz LEWANDOWSKI,23781
Bogusław LIBERADZKI,23768
Eva LICHTENBERGER,28253
Peter LIESE,1927
Kartika Tamara LIOTARD,28182
Krzysztof LISEK,96788
Barbara LOCHBIHLER,96728
Morten LØKKEGAARD,96709
Verónica LOPE FONTAGNÉ,96765
Juan Fernando LÓPEZ AGUILAR,96812
Antonio LÓPEZ-ISTÚRIZ WHITE,28399
Sabine LÖSING,96854
Isabella LÖVIN,96675
Caroline LUCAS,4524
Baroness Sarah LUDFORD,4529
Olle LUDVIGSSON,96673
Petru Constantin LUHAN,96823
Elżbieta Katarzyna ŁUKACIJEWSKA,96791
Astrid LULLING,1186
Ulrike LUNACEK,97017
Elizabeth LYNNE,4541
George LYON,96959
Marusya LYUBCHEVA,37524
Linda McAVAN,2327
Arlene McCARTHY,2173
Emma McCLARKIN,96919
Mairead McGUINNESS,28115
Anthea McINTYRE,111011
Edward McMILLAN-SCOTT,1405
Monica MACOVEI,96824
Barry MADLENER,96904
Ivana MALETIĆ,119436
Svetoslav Hristov MALINOV,111027
Toine MANDERS,4560
Ramona Nicole MĂNESCU,39717
Vladimír MAŇKA,28192
Thomas MANN,1922
Bogdan Kazimierz MARCINKIEWICZ,96792
Jean-Claude MARCOURT,97021
Marian-Jean MARINESCU,33982
David MARTIN,1403
Hans-Peter MARTIN,4238
Miguel Angel MARTÍNEZ MARTÍNEZ,4346
Antonio MASIP HIDALGO,28338
Jiří MAŠTÁLKA,23704
Clemente MASTELLA,4462
Barbara MATERA,96813
Véronique MATHIEU HOUILLON,4412
Marisa MATIAS,96820
Gabriel MATO,96936
Iosif MATULA,95017
Mario MAURO,4393
Kyriakos MAVRONIKOLAS,96906
Hans-Peter MAYER,4275
Jaime MAYOR OREJA,28362
Zofija MAZEJ KUKOVIČ,39916
Erminia MAZZONI,96817
Gesine MEISSNER,96870
Jean-Luc MÉLENCHON,96742
Nuno MELO,96978
Íñigo MÉNDEZ DE VIGO,1873
Emilio MENÉNDEZ del VALLE,4348
Judith A. MERKIES,96910
Morten MESSERSCHMIDT,96663
Alajos MÉSZÁROS,96652
Roberta METSOLA,118859
Willy MEYER,28407
Louis MICHEL,96670
Martina MICHELS,120478
Marek Henryk MIGALSKI,96800
Miroslav MIKOLÁŠIK,28178
Guido MILANA,97020
Francisco José MILLÁN MON,28400
Ana Maria MIRANDA PAZ,24942
Alexander MIRSKY,96999
Gay MITCHELL,28112
Marlene MIZZI,118858
Andreas MÖLZER,28255
Claude MORAES,4519
Vital MOREIRA,96930
Claudio MORGANTI,97280
Elisabeth MORIN-CHARTIER,38596
Radvilė MORKŪNAITĖ-MIKULĖNIENĖ,96695
Krisztina MORVAI,96661
Tiziano MOTTI,96760
Jan MULDER,1965
María MUÑIZ DE URQUIZA,96701
Paul MURPHY,97344
Cristiana MUSCARDINI,1073
Vojtěch MYNÁŘ,114873
Juan Andrés NARANJO ESCOBAR,5537
Mike NATTRASS,28506
Norbert NEUSER,96844
Katarína NEVEĎALOVÁ,96653
Bill NEWTON DUNN,1394
Nadezhda NEYNSKY,96861
Annemie NEYTS-UYTTEBROECK,1946
James NICHOLSON,1318
Norica NICOLAI,96825
Rareș-Lucian NICULESCU,39714
Angelika NIEBLER,4289
Jens NILSSON,111024
Lambert van NISTELROOIJ,28165
Sławomir NITRAS,96794
Paul NUTTALL,96805
Franz OBERMAYR,96981
Raimon OBIOLS,4328
Kristiina OJULAND,97230
Jan OLBRYCHT,28288
Wojciech Michał OLEJNICZAK,96783
Younous OMARJEE,30482
Ria OOMEN-RUIJTEN,1122
Eva ORTIZ VILELLA,111019
Csaba ŐRY,23819
Miroslav OUZKÝ,23705
Siiri OVIIR,26829
Doris PACK,1191
Ivari PADAR,97025
Athanasios PAFILIS,28583
Riikka PAKARINEN,96685
Rolandas PAKSAS,96694
Justas Vincas PALECKIS,28279
Chrysoula PALIADELI,97007
Alfredo PALLONE,97197
Vladko Todorov PANAYOTOV,38602
Monika PANAYOTOVA,116663
Pier Antonio PANZERI,28365
Antigoni PAPADOPOULOU,97050
Giorgos PAPAKONSTANTINOU,97006
Georgios PAPANIKOLAOU,96900
Georgios PAPASTAMKOS,28572
Gilles PARGNEAUX,96948
Antonyia PARVANOVA,34234
Ioan Mircea PAŞCU,33984
Jaroslav PAŠKA,96654
Maria do Céu PATRÃO NEVES,96902
Aldo PATRICIELLO,36392
Marit PAULSEN,4270
Vincent PEILLON,28166
Andrés PERELLÓ RODRÍGUEZ,96989
Alojz PETERLE,23693
Sandra PETROVIĆ JAKOVINA,119441
Tonino PICULA,112744
Markus PIEPER,28224
Sirpa PIETIKÄINEN,40599
Mirosław PIOTROWSKI,28341
Mario PIRILLO,96890
Hubert PIRKER,2307
Andreas PITSILLIDES,118144
Gianni PITTELLA,4436
Andrej PLENKOVIĆ,112755
Athanasios PLEVRIS,97010
Rovana PLUMB,38595
Pavel POC,96715
Anni PODIMATA,39317
Maurice PONGA,96931
Tomasz Piotr PORĘBA,96801
Miguel PORTAS,28406
Bernd POSSELT,2229
Hans-Gert PÖTTERING,1253
Konstantinos POUPAKIS,96658
Cristian Dan PREDA,96838
Phil PRENDERGAST,107386
Vittorio PRODI,28370
Jacek PROTASIEWICZ,23782
Franck PROUST,108080
Fiorello PROVERA,96994
Godelieve QUISTHOUDT-ROWOHL,1055
Paulo RANGEL,96903
Hella RANNER,96879
Miloslav RANSDORF,23706
Bernhard RAPKAY,1906
Sylvana RAPTI,96925
Evelyn REGNER,96998
Britta REIMERS,96875
Vladimír REMEK,28330
Mitro REPO,96686
Herbert REUL,28225
Christine REVAULT D'ALLONNES BONNEFOY,124287
Teresa RIERA MADURELL,28349
Frédérique RIES,4253
Niccolò RINALDI,97229
Dominique RIQUET,96885
Michèle RIVASI,96743
Crescenzio RIVELLINI,97199
Jean ROATTA,111068
Robert ROCHEFORT,97022
Ulrike RODUST,93624
Jens ROHDE,96710
Zuzana ROITHOVÁ,28352
Carmen ROMERO LÓPEZ,96990
Raül ROMEVA i RUEDA,28409
Licia RONZULLI,96819
Anna ROSBACH,96664
Tadeusz ROSS,122317
Oreste ROSSI,97196
Dagmar ROTH-BEHRENDT,1183
Libor ROUČEK,23707
Paul RÜBIG,2278
Alfreds RUBIKS,96988
Heide RÜHLE,4294
Kārlis ŠADURSKIS,111033
Tokia SAÏFI,4345
Katrin SAKS,37200
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA,2002
Potito SALATTO,96889
Nikolaos SALAVRAKOS,99416
Matteo SALVINI,28404
Antolín SÁNCHEZ PRESEDO,28295
Marie-Thérèse SANCHEZ-SCHMID,96746
Daciana Octavia SÂRBU,33989
Judith SARGENTINI,96815
Amalia SARTORI,4423
Petri SARVAMAA,112611
Jacek SARYUSZ-WOLSKI,28297
David-Maria SASSOLI,96864
Algirdas SAUDARGAS,96696
Vilja SAVISAAR-TOOMAST,97308
Marietje SCHAAKE,96945
Christel SCHALDEMOSE,37312
Carl SCHLYTER,28139
Olle SCHMIDT,4274
Pál SCHMITT,28133
Horst SCHNELLHARDT,1930
Birgit SCHNIEBER-JASTRAM,96827
Helmut SCHOLZ,96646
György SCHÖPFLIN,28135
Elisabeth SCHROEDTER,1933
Martin SCHULZ,1911
Werner SCHULZ,96731
Andreas SCHWAB,28223
Edward SCICLUNA,96671
Giancarlo SCOTTÀ,96996
Marco SCURRIA,96843
Salvador SEDÓ i ALABART,111018
Richard SEEBER,28252
Olga SEHNALOVÁ,96718
Joanna SENYSZYN,96789
Debora SERRACCHIANI,96865
Adrian SEVERIN,33990
Czesław Adam SIEKIERSKI,23787
Ovidiu Ioan SILAGHI,33991
Sergio Paolo Francesco SILVESTRIS,96755
Peter SIMON,96836
Brian SIMPSON,1309
Nicole SINCLAIRE,96960
Birgit SIPPEL,96932
Marek SIWIEC,28380
Peter SKINNER,2081
Joanna Katarzyna SKRZYDLEWSKA,96770
Theodoros SKYLAKAKIS,97018
Alyn SMITH,28508
Monika SMOLKOVÁ,96655
Csaba SÓGOR,39724
Timo SOINI,96666
Renate SOMMER,4282
Søren Bo SØNDERGAARD,37676
Bogusław SONIK,28299
Sophocles SOPHOCLEOUS,114840
Francisco SOSA WAGNER,97170
Catherine SOULLIE,97294
Alda SOUSA,113487
Francesco Enrico SPERONI,997
Ewald STADLER,111026
Bart STAES,4751
Laurence J.A.J. STASSEN,96905
Peter ŠŤASTNÝ,28170
Gabriele STAUNER,4293
Georgios STAVRAKAKIS,97008
Jutta STEINRUCK,96831
Dirk STERCKX,4243
Struan STEVENSON,4546
Davor Ivo STIER,119435
Catherine STIHLER,4545
Daniël van der STOEP,96946
Theodor Dumitru STOLOJAN,39721
Dimitar STOYANOV,34254
Emil STOYANOV,96863
Ernst STRASSER,96766
Ivo STREJČEK,28320
Michèle STRIFFLER,96860
Robert STURDY,2037
Dubravka ŠUICA,119434
László SURJÁN,23820
Gianluca SUSTA,36396
Alf SVENSSON,96678
Eva-Britt SVENSSON,28134
Kay SWINBURNE,96920
Hannes SWOBODA,2295
József SZÁJER,23821
Csanád SZEGEDI,96855
Konrad SZYMAŃSKI,28358
Csaba Sándor TABAJDI,23808
Hannu TAKKULA,28316
Claudiu Ciprian TĂNĂSESCU,96847
Charles TANNOCK,4521
Marc TARABELLA,29579
Indrek TARAND,97136
Salvatore TATARELLA,1945
Rui TAVARES,96821
Keith TAYLOR,102931
Rebecca TAYLOR,112620
Nuno TEIXEIRA,96974
Sampo TERHO,107385
Zoran THALER,96727
Alexandra THEIN,96874
Eleni THEOCHAROUS,25704
Michael THEURER,96871
Isabelle THOMAS,114279
Britta THOMSEN,28153
Róża Gräfin von THUN UND HOHENSTEIN,96776
Marianne THYSSEN,1832
Silvia-Adriana ȚICĂU,36281
Patrice TIROLIEN,97026
Patrizia TOIA,28340
László TŐKÉS,39726
Valdemar TOMAŠEVSKI,96697
Ruža TOMAŠIĆ,119431
Nils TORVALDS,114268
Evžen TOŠENOVSKÝ,96713
Georgios TOUSSAS,28584
Catherine TRAUTMANN,1129
Gino TREMATERRA,110987
Michail TREMOPOULOS,96909
Ramon TREMOSA i BALCELLS,97203
Kyriacos TRIANTAPHYLLIDES,28514
Helga TRÜPEL,28240
Rafał TRZASKOWSKI,96773
Ioannis A. TSOUKALAS,96898
Claude TURMES,4432
Emilie TURUNEN,96703
Niki TZAVELA,96660
Giommaria UGGIAS,97131
Thomas ULMER,28221
Marita ULVSKOG,96672
Traian UNGUREANU,96835
Vladimir URUTCHEV,38601
Viktor USPASKICH,96698
Corneliu VADIM TUDOR,96845
Inese VAIDERE,28617
Ivo VAJGL,97019
Adina-Ioana VĂLEAN,37324
Oleg VALJALO,119440
Kathleen VAN BREMPT,5729
Frank VANHECKE,1956
Geoffrey VAN ORDEN,4513
Gianni VATTIMO,4398
Derek VAUGHAN,96918
Marie-Christine VERGIAT,96858
Bernadette VERGNAUD,28177
Sabine VERHEYEN,96756
Guy VERHOFSTADT,97058
Alejo VIDAL-QUADRAS,4308
Kristian VIGENIN,34232
Philippe de VILLIERS,2212
Justina VITKAUSKAITE BERNARD,30475
Oldřich VLASÁK,28323
Dominique VLASTO,5737
Axel VOSS,96761
Nikola VULJANIĆ,112760
Jarosław WAŁĘSA,96774
Diana WALLIS,4544
Sir Graham WATSON,2155
Henri WEBER,2319
Manfred WEBER,28229
Renate WEBER,39713
Josef WEIDENHOLZER,111014
Barbara WEILER,1907
Anja WEISGERBER,28227
Angelika WERTHMANN,97016
Åsa WESTLUND,28130
Kerstin WESTPHAL,96839
Rainer WIELAND,2323
Cecilia WIKSTRÖM,96677
Dame Glenis WILLMOTT,35743
Sabine WILS,96741
Hermann WINKLER,96764
Iuliu WINKLER,39725
Jacek WŁOSOWICZ,96802
Janusz WOJCIECHOWSKI,23784
Corien WORTMANN-KOOL,28167
Luis YÁÑEZ-BARNUEVO GARCÍA,28278
Marina YANNAKOUDAKIS,96944
Anna ZÁBORSKÁ,23894
Jan ZAHRADIL,23712
Boris ZALA,96656
Pablo ZALBA BIDEGAIN,96763
Zbigniew ZALESKI,28300
Paweł ZALEWSKI,96777
Dan Dumitru ZAMFIRESCU,117119
Iva ZANICCHI,41007
Andrea ZANONI,108329
Artur ZASADA,96778
Tatjana ŽDANOKA,28619
Joachim ZELLER,96762
Janusz ZEMKE,96784
Karim ZÉRIBI,113890
Auke ZIJLSTRA,103246
Roberts ZĪLE,28615
Gabriele ZIMMER,28248
Zbigniew ZIOBRO,96803
Inês Cristina ZUBER,111589
Milan ZVER,96933
Tadeusz ZWIEFKA,28301
