ID,Name,Country,Political_group,Party,Institution,Previous_position,New_position,category_new_position,category_bar,brussel_lobbying,total_activities,Link_source,Link_profile,on_JTR,Link_picture,Comments,group2,Description,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents",Link Transparency register,Number of activities 
28141,Lívia Járóka,Hungary,EPP,Fidesz–Hungarian Civic Union,European parliament,MEP,Freelancing expert / researcher,Private Sector,Company and Group,Unknown,1,,,No,,,,Could not verify this claim. Leave unknown,,,TI-HU,,,,,,
96650,Lothar Bisky,Germany,GUE/NGL,The Left,European parliament,MEP,Deceased in 2013 ,Other,Retired / Deceased,no,1,https://en.wikipedia.org/wiki/Lothar_Bisky,,No,,,,,,,Raphael,,,,,,
96893,Louis Bontes,Netherlands,NI,Party for Freedom,European parliament,MEP,Member of the Dutch parliament,Public Sector,Elected office,no,1,https://www.tweedekamer.nl/sites/default/files/atoms/files/nevenfuncties_26-10-2016_0.Democratic Partyf,,No,,,PVV,,,,Raphael ,,,,,,
28123,Louis Grech,Malta,S&D,Labour Party,European parliament,MEP,Deputy Prime Minister of Malta; Minister of European Affairs,Public Sector,Elected office,no,2,https://deputyprimeminister.gov.mt/en/The%20Ministry/Pages/The-Minister.aspx,,No,,,PvDA,,,,Raphael,,,,,,
103132,Lucas Hartong,Netherlands,NI,Party for Freedom,European parliament,MEP,Independent columnist; Author,Private Sector,Media,no,1,http://literatuurplein.nl/persdetail.jsp?persId=738779,,No,,,PVV,No longer politically active,,,Raphael,,,,,,
97156,Luigi Berlinguer,Italy,S&D,Democratic Party,European parliament,MEP,Retired,Other,Retired / Deceased,no,1,https://en.wikipedia.org/wiki/Luigi_Berlinguer,,No,,,PD,Born in 1933,,,Raphael ,,,,,,
1746,Luigi Ciriaco De Mita,Italy,EPP,Union of Christian and Centre Democrats,European parliament,MEP,Mayor of Nusco,Public Sector,Elected office,no,1,http://www.comune.nusco.gov.it/page.aspx?id=sindaco,,No,,,UDC,,,,Raphael,,,,,,
97129,Luigi De Magistris,Italy,ALDE,Italy of Values,European parliament,MEP,Mayor of Naples,Public Sector,Elected office,no,1,http://www.comune.napoli.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/14802,,No,,,,,,,Raphael,,,,,,
28311,Luis Manuel Capoulas Santos,Portugal,S&D,Socialist Party,European parliament,MEP,"Minister of Agriculture, Forests and Rural Development",Public Sector,Elected office,no,1,http://www.portugal.gov.pt/en/ministries/mafdr.aspx,,No,,,,,,,Raphael,,,,,,
96976,Luís Paulo Alves,Portugal,S&D,Socialist Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,1,,,No,,,,,,,Raphael,,,,,,
28278,Luis Yáñez-Barnuevo García,Spain,S&D,Socialist Workers' Party,European parliament,MEP,Retired,Other,Retired / Deceased,no,1,https://es.wikipedia.org/wiki/Luis_Y%C3%A1%C3%B1ez,,No,,,,,,,Raphael,,,,,,
