name,id,voted,votes,percent,active
"Daniel DALTON",35135,1768,1855,95.31,True
"Andor DELI",124714,1961,2058,95.29,True
"Pascal DURAND",124693,1961,2058,95.29,True
"György SCHÖPFLIN",28135,1960,2058,95.24,True
"Patricija ŠULIN",125103,1960,2058,95.24,True
"Martina DLABAJOVÁ",124709,1959,2058,95.19,True
"Kinga GÁL",28150,1958,2058,95.14,True
"Pavel POC",96715,1958,2058,95.14,True
"Helmut SCHOLZ",96646,1958,2058,95.14,True
"Dita CHARANZOVÁ",124708,1957,2058,95.09,True
"Othmar KARAS",4246,1956,2058,95.04,True
"David MARTIN",1403,1956,2058,95.04,True
"Bodil VALERO",124993,1956,2058,95.04,True
"Flavio ZANONATO",124800,1956,2058,95.04,True
"Maria HEUBUCH",124848,1955,2058,95.00,True
"Arnaud DANJEAN",96747,1954,2058,94.95,True
"Norbert ERDŐS",124711,1954,2058,94.95,True
"Frédérique RIES",4253,1953,2058,94.90,True
"Anna ZÁBORSKÁ",23894,1953,2058,94.90,True
"Yana TOOM",124700,1952,2058,94.85,True
"Hugues BAYET",125002,1951,2058,94.80,True
"Alain LAMASSOURE",1204,1951,2058,94.80,True
"Vladimir URUTCHEV",38601,1951,2058,94.80,True
"Tom VANDENKENDELAERE",129164,1896,2000,94.80,True
"Marie-Christine BOUTONNET",124753,1950,2058,94.75,True
"Nessa CHILDERS",96603,1950,2058,94.75,True
"Michel DANTIN",97296,1950,2058,94.75,True
"Michał MARUSIK",124894,1950,2058,94.75,True
"József NAGY",124926,1950,2058,94.75,True
"Pedro SILVA PEREIRA",124747,1950,2058,94.75,True
"Mercedes BRESSO",28346,1949,2058,94.70,True
"Helga STEVENS",125105,1949,2058,94.70,True
"Zigmantas BALČYTIS",96680,1948,2058,94.66,True
"Doru-Claudian FRUNZULICĂ",124790,1948,2058,94.66,True
"Barbara KUDRYCKA",28284,1948,2058,94.66,True
"Valentinas MAZURONIS",124768,1948,2058,94.66,True
"Massimo PAOLUCCI",124849,1948,2058,94.66,True
"Margrete AUKEN",28161,1947,2058,94.61,True
"Marielle de SARNEZ",4335,1947,2058,94.61,True
"Lars ADAKTUSSON",124990,1946,2058,94.56,True
"Charles GOERENS",840,1946,2058,94.56,True
"Giulia MOI",124859,1946,2058,94.56,True
"Lucy ANDERSON",124949,1944,2058,94.46,True
"José BOVÉ",96744,1944,2058,94.46,True
"Jerzy BUZEK",28269,1944,2058,94.46,True
"Zdzisław KRASNODĘBSKI",124891,1944,2058,94.46,True
"Sabine LÖSING",96854,1944,2058,94.46,True
"Eleonora FORENZA",125193,1943,2058,94.41,True
"Ulrike RODUST",93624,1943,2058,94.41,True
"Elżbieta Katarzyna ŁUKACIJEWSKA",96791,1943,2058,94.41,True
"Richard CORBETT",2309,1942,2058,94.36,True
"Ismail ERTUG",96842,1942,2058,94.36,True
"José Inácio FARIA",125101,1942,2058,94.36,True
"Franc BOGOVIČ",125004,1941,2058,94.31,True
"Mario BORGHEZIO",21817,1941,2058,94.31,True
"Kostas CHRYSOGONOS",125061,1941,2058,94.31,True
"Enrique GUERRERO SALOM",96768,1941,2058,94.31,True
"Inmaculada RODRÍGUEZ-PIÑERO FERNÁNDEZ",125043,1941,2058,94.31,True
"Estefanía TORRES MARTÍNEZ",131749,1523,1615,94.30,True
"Stefano MAULLU",133326,778,825,94.30,True
"Marco AFFRONTE",124797,1940,2058,94.27,True
"Klaus BUCHNER",124818,1940,2058,94.27,True
"Lara COMI",96775,1940,2058,94.27,True
"Elisabetta GARDINI",58758,1940,2058,94.27,True
"Emma McCLARKIN",96919,1940,2058,94.27,True
"Wim van de CAMP",96754,1940,2058,94.27,True
"Daniele VIOTTI",124791,1939,2058,94.22,True
"Marlene MIZZI",118858,1938,2058,94.17,True
"Sylvia-Yvonne KAUFMANN",1849,1937,2058,94.12,True
"Curzio MALTESE",125192,1936,2058,94.07,True
"Neoklis SYLIKIOTIS",124689,1935,2058,94.02,True
"Petra KAMMEREVERT",96837,1934,2058,93.97,True
"Joachim SCHUSTER",124837,1934,2058,93.97,True
"Jakob von WEIZSÄCKER",124840,1934,2058,93.97,True
"Martina MICHELS",120478,1933,2058,93.93,True
"Marie-Christine ARNAUTU",124748,1932,2058,93.88,True
"Jadwiga WIŚNIEWSKA",124877,1932,2058,93.88,True
"Anthea McINTYRE",111011,1931,2058,93.83,True
"Sampo TERHO",107385,440,469,93.82,False
"Isabella ADINOLFI",124831,1930,2058,93.78,True
"Peter ERIKSSON",124937,1930,2058,93.78,True
"Stanislav POLČÁK",124704,1930,2058,93.78,True
"Krystyna ŁYBACKA",124883,1930,2058,93.78,True
"Miroslav MIKOLÁŠIK",28178,1929,2058,93.73,True
"Davor Ivo STIER",119435,1927,2058,93.63,True
"Dennis de JONG",96748,1927,2058,93.63,True
