Name,Country,Political_group,Party,Institution,Previous_position,New_position,Category_activity,Link_profile,Link_source,Description,Paid_unpaid,Date,Answers,Certified
Claudette ABELA BALDACCHINO,Malta,S&D,Labour Party (2013–),European Parliament,MEP,"In 2012 was charged together with five others for allegedly over-claiming some €96,000 in travel expenses from the European Commission in 2004-07, when they served as local councillors. On the 24 April he was elected to replace Louis Grech and Edward Scicluna (Malta). She is now member of the Committe of Regions (according to LinkedIn). ",Elected office & public sector,,,,,,,
János ÁDER,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,President of Hungary,Elected office & public sector,,http://www.keh.hu/president_janos_ader/1582-Curriculum_vitae_of_Janos_Ader,,,,,TI-CY
Gabriele ALBERTINI,Italy,EPP,0,European Parliament,MEP,Senator from 2013 in Italy,Elected office & public sector,,,,,,,
Sonia ALFANO,Italy,ALDE,0,European Parliament,MEP,President of the Italian Anti/ mafia commission,Elected office & public sector,,,,,,,
François ALFONSI,France,Greens-EFA,Party of the Corsican Nation,European Parliament,MEP,"President of the European Free Alliance, since 2014",Elected office & public sector,,http://www.e-f-a.org/whos-who/president/,,,,,Raph 
Magdi Cristiano ALLAM,Italy,EPP,0,European Parliament,MEP,Journalist,Media,http://www.europarl.europa.eu/meps/en/96992/MAGDI+CRISTIANO_ALLAM_home.html,,,,,,
Magdalena ALVAREZ,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Left the EP in order to become Vice-President of the European Investment Bank. She quit in 2014 because she was charged for misappropriation of public funds,Unknown,,,Interesting,,,Very unclear what her current occupation is ,Raphael 
Alexander ALVARO,Germany,ALDE,Free Democratic Party,European Parliament,MEP,"Self-employed Advisor for the Digital Agenda, Data Protection and EU Affairs.",Brussels-focussed lobbying,,https://www.linkedin.com/in/alexander-alvaro-131321a7,https://www.thelocal.de/20140403/vp-of-parliament-charged-with-manslaughter,,,,Raphael 
Luís Paulo ALVES,Portugal,S&D,Socialist Party,European Parliament,MEP,"Manager of UNILEITE, a union of the milk producers in San Miguel Isle",Private Sector,,,,,,,
Amelia ANDERSDOTTER,Sweden,Greens-EFA,Pirate Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Marta ANDREASEN,United Kingdom,ECR,Conservative Party[1],European Parliament,MEP,No updated information available,Unknown,,,,,,,Raphael 
Josefa ANDRÉS BAREA,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Deputy Les Corts Valencianes ,Elected office & public sector,,,,,,,
Roberta ANGELILLI,Italy,EPP,0,European Parliament,MEP,Regional Coordinator Nuovo Centro Destra (political party),Elected office & public sector,,,,,,,
Charalampos ANGOURAKIS,Greece,GUE/NGL,KKE,European Parliament,MEP,Died in 2014,Deceased,,,,,,,
Antonello ANTINORO,Italy,EPP,0,European Parliament,MEP,Currently prosecuted for vote-trading in exchange for money in the regional elections in 2008. ,Prison,,,,,,,
Elena Oana ANTONESCU,Romania,EPP,Democratic Liberal Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Alfredo ANTONIOZZI,Italy,EPP,0,European Parliament,MEP,Member of the Board of directors of ENEL since May 2015,Private Sector,,,,,,,
Pablo ARIAS ECHEVERRÍA,Spain,EPP,People's Party,European Parliament,MEP,Member of the Administrative Council of Telemadrid,Private Sector,,,,,,,
Kader ARIF,France,S&D,Socialist Party,European Parliament,MEP,On 21 November 2014 he resigned due to suspicion on fraud and opening of judicial inquiry. Currently Deputy of Haute-Girone,Elected office & public sector,,,,,,,
Pino ARLACCHI,Italy,ALDE,0,European Parliament,MEP,Professor and writer,Academic,,,,,,,
Kriton ARSENIS,Greece,S&D,Independent,European Parliament,MEP,Founder of Road Free initiative (forest protection),NGO,,,,,,,
Sir Robert ATKINS,United Kingdom,ECR,Conservative Party,European Parliament,MEP,President of Preston Conservative Association ,NGO,,,,,,,
John ATTARD-MONTALTO,Malta,S&D,Labour Party,European Parliament,MEP,Lawyer for Saga Juris Advocates (Malta),Lawyer,,,,,,,
Sophie AUCONIE,France,EPP,Union for a Popular Movement–New Centre,European Parliament,MEP,"Consultant in public affairs and performances in connection to the EU (according to La Nouvelle Republique), Governor at World Water Council ",Brussels-focussed lobbying,,,,,,,
Jean-Pierre AUDY,France,EPP,Union for a Popular Movement,European Parliament,MEP,Conseiller Municipal de la Commune de Meymac ,Elected office & public sector,,,,,,,
Liam AYLWARD,Ireland,ALDE,Fianna Fáil,European Parliament,MEP,Director of Liam Aylward Building Services Ltd.,Private Sector,,,Check. potential?,,,Seems to be nothing,
Maria BADIA i CUTCHET,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Member of the association A Soul for Europe and of the political party Moviment d'Esquerres,NGO,,,A Soul for Europe uses EP funding.,,,,
Zoltán BAGÓ,Hungary,NI,Jobbik–The Movement for a Better Hungary,European Parliament,MEP,"Lawyer, honorary associate professor (Szent István University)",Lawyer,,,,,,,TI-HU
Raffaele BALDASSARRE,Italy,EPP,0,European Parliament,MEP,"Lawyer (not mentioned where on LinkedIn, but in the past he was legal adviser for the the second largest Confederation of Trade Unions in Italy)",Lawyer,,,,,,,
Marino BALDINI,Croatia,S&D,Social Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Francesca BALZANI,Italy,PASD,0,European Parliament,MEP,"Town councilor for the Budget, Heritage and Taxes at the Municipality of Milan and from July 17 2015, she also performs the role of Deputy Mayor of Milan",Elected office & public sector,,,,,,,
Erik BÁNKI,Hungary,PPE,Fidesz-MPP,European Parliament,MEP,Member of National Assembly in Hungary,Elected office & public sector,,,,,,,TI-HU
Giovanni BARBAGALLO,Italy,S&D,PD,European Parliament,MEP,Deputy in the Sicilian Regional Assembly,Elected office & public sector,,,,,,,
Michel BARNIER,France,PPE,UMP,European Parliament,MEP,Brexit advisor to European Commission President Juncker,Elected office & public sector,,,,,,,
Francesca BARRACCIU,Italy,S&D,PD,European Parliament,MEP,Was prosecuted for misuse of public funds (in Italy) and had to resign from her function as Undersecretary for Cultural Heritage,Prison,,,,,,,
Paolo BARTOLOZZI,Italy,EPP,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Elena B?SESCU,Romania,EPP,Democratic Liberal Party (Independent),European Parliament,MEP,"Working for the Romanian Chamber of Commerce and Industry, International Relations Department ",Private Sector,,,At least this is clearly a lobbying job. No apparent conflict of interest.,,,,
Regina BASTOS,Portugal,EPP,Social Democratic Party,European Parliament,MEP,"Member of the National Assembly of Portugal, President of the Commission for European Affairs",Elected office & public sector,,,,,,,
Dominique BAUDIS,France,PPE,UMP,European Parliament,MEP,Died in 2014,Deceased,,,,,,,
Edit BAUER,Slovakia,EPP,Party of the Hungarian Coalition,European Parliament,MEP,"Member of the Centre for European Affairs, an independent civic association in Slovakia ",NGO,,,Check.,,,,
George BECALI,Romania,NI,"Greater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal PartyGreater Romania Party (New Generation Party) (2009–2012)
 National Liberal Party",European Parliament,MEP,"President of the Council of Administration of FC Steaua Bucharest (one of the major football teams in Romania), major shareholder of Steaua SA Bucharest, SC Avicola Iasi, Uzina Mecanica Dragasani. ",Private Sector,,,,,,,
Christophe BÉCHU,France,PPE,UMP,European Parliament,MEP,Mayor of Angers and French Senator (Maine-et-Loire),Elected office & public sector,,,,,,,
Sandrine BÉLIER,France,Greens-EFA,Europe Ecology,European Parliament,MEP,"Independent consultant on questions of politics, governance and environmental strategies ",Consulting,,,,,,,
Malika BENARAB-ATTOU,France,Greens-EFA,Europe Ecology,European Parliament,MEP,Charged of mission at the International Relations Direction of the Ecole Nationale Superieure de Securite sociale ,Academic,,,,,,,
Jean-Luc BENNAHMIAS,France,ALDE,Democratic Movement,European Parliament,MEP,President of Front democrate in France (he founded this new party back in 2014),Elected office & public sector,,,,,,,
Phil BENNION,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,Staffordshire farmer ,Other,,,,,,,
Sergio BERLATO,Italy,EPP,0,European Parliament,MEP,Member of the Regional Council of Venice,Elected office & public sector,,,,,,,
Luigi BERLINGUER,Italy,PASD,0,European Parliament,MEP,Deputy in the Parliament of Italy,Elected office & public sector,,,,,,,
Thijs BERMAN,Netherlands,S&D,Labour Party,European Parliament,MEP,"Independent consultant based in Brussels. Advisory on electoral support, EU lawmaking, communication strategy, development policies, democracy building.Currently serving as Team Leader in Bangui, Central African Republic, of EU project providing electoral support. From July 2015. ",Brussels-focussed lobbying,,,"Although this is probably all for the good cause, I would make this Brussels focussed consulting/lobbying",,,,
Nora BERRA,France,PPE,UMP,European Parliament,MEP,Regional Counsellor of Lyon Townhall ,Elected office & public sector,,,,,,,
Fabrizio BERTOT,Italy,PPE,Forza Italia,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Jean-Paul BESSET,France,Greens-EFA,Europe Ecology,European Parliament,MEP,Pensioner,Retired,,,,,,,
Jean-Jacob BICEP,France,Greens-EFA,Europe écologie,European Parliament,MEP,"There is a firm with his name in Sainte Anne en Guadeloupe (France), ""Jean Jacob Bicep Consulting"", set up in March 2016",Consulting,,,,,,,
Adam BIELAN,Poland,ECR,Law and Justice / Poland Comes First / Independent,European Parliament,MEP,Deputy Speaker of the Polish Senate ,Elected office & public sector,,,,,,,
Slavi BINEV,Bulgaria,NI,Attack,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Lothar BISKY,Germany,GUE/NGL,The Left,European Parliament,MEP,Died in 2013 ,Deceased,,https://en.wikipedia.org/wiki/Lothar_Bisky,,,,,Raphael
Godfrey BLOOM,United Kingdom,NI,Independent[3],European Parliament,MEP,Chairman of the Parliamentary Mises Book Club. Independent politician. ,Elected office & public sector,,,,,,,
Sebastian Valentin BODU,Romania,EPP,Democratic Liberal Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Lajos BOKROS,Hungary,ECR,Democratic Forum,European Parliament,MEP,"teacher at the Central European University Leader of the Movement for a Modern Hungary, economist.",Academic,,https://people.ceu.edu/lajos_bokros,,,,,TI-HU
Franco BONANINI,Italy,NI,PD,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Vito BONSIGNORE,Italy,EPP,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Louis BONTES,Netherlands,NI,Party for Freedom,European Parliament,MEP,Member of the House of Representatives of Netherlands ,Elected office & public sector,,https://www.tweedekamer.nl/sites/default/files/atoms/files/nevenfuncties_26-10-2016_0.pdf,,,,,Raphael 
Preslav BORISSOV,Bulgaria,EPP,Citizens for European Development of Bulgaria,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Rita BORSELLINO,Italy,PASD,0,European Parliament,MEP,"President of Libers, anti/mafia association she has founded in 1995. Chairman of ""Associazione Piera Cutino",NGO,,,,,,,
Piotr BORYS,Poland,EPP,Civic Platform,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Philippe BOULLAND,France,EPP,Union for a Popular Movement,European Parliament,MEP,Doctor,Private Sector,,http://www.leparisien.fr/espace-premium/oise-60/cabinet-medical-menace-le-medecin-denonce-l-inaction-de-la-mairie-13-10-2016-6200046.php,,,,,Raphael
Sharon BOWLES,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,New Employer London Stock Exchange Group plc; Prime Collaterised Securities Initiative,Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/sharon-bowles,,,,,
Emine BOZKURT,Netherlands,S&D,Labour Party,European Parliament,MEP,Member of Board of Advisers of International IDEA (Institute for Democracy and Electoral Assistance),NGO,,,,,,,
Franziska Katharina BRANTNER,Germany,Greens-EFA,Alliance '90/The Greens,European Parliament,MEP,Member of the German Parliament,Elected office & public sector,,http://www.bundestag.de/abgeordnete18/biografien/B/brantner_franziska/259392,,,,,Raphael
Arkadiusz Tomasz BRATKOWSKI,Poland,PPE,PSL,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Frieda BREPOELS,Belgium,Greens-EFA,New Flemish Alliance,European Parliament,MEP,mayor of Bilzen ,Elected office & public sector,,http://www.bilzen.be/burgemeester,,,,,Raphael
Hiltrud BREYER,Germany,Greens-EFA,Grüne,European Parliament,MEP,No updated information available,Unknown,,,,,,,Raphael
Jan B?EZINA,Czech Republic,EPP,Christian and Democratic Union,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Andrew Henry William BRONS,United Kingdom,NI,British Democratic Party,European Parliament,MEP,President of British Democratic Party,Elected office & public sector,,http://www.dailystormer.com/british-renaissance-jez-turner-and-andrew-brons/,Really not sure that is his job. Can you look again?,,,No further info found. Gives public speeches,Raphael 
Zuzana BRZOBOHATÁ,Czech Republic,S&D,Social Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
John BUFTON,United Kingdom,EFD,UK Independence Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,Raphael
Zdravka BUŠI?,Croatia,EPP,Democratic Union,European Parliament,MEP,Deputy Minister of Foreign and European Affairs ,Elected office & public sector,,,,,,,
Simon BUSUTTIL,Malta,EPP,Nationalist Party (2009–2013),European Parliament,MEP,Leader of the Opposition in Malta,Elected office & public sector,,,,,,,
Milan CABRNOCH,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,Pediatrician - independent consultant in health and social services - politician,Other,,,"Check. I would make this ""potential""",,,,
Martin CALLANAN,United Kingdom,ECR,Conservative Party,European Parliament,MEP,Consultant for Symphony Environmental Technologies. Life peer at the House the Lords,Consulting,,https://corporateeurope.org/revolvingdoorwatch/cases/martin-callanan,"Do I understand that his new function should be ""Member of the UK House of Lords""",,,"The correct term is ""life peer"". IIs a consultant for which specialises in specializes in developing and marketing a wide range of plastic products and other environmental technologies, and operates worldwide",Raphael
Antonio CANCIAN,Italy,EPP,0,European Parliament,MEP,"President and CEO, Rete Autostrade Mediterranee, la società in house del Ministero delle Infrastrutture e dei Trasporti",Elected office & public sector,,,,,,,
Pascal CANFIN,France,Greens-EFA,Europe Ecology,European Parliament,MEP,"Head of the French section of WWF. July 2014 to December 2015, he was the Senior Advisor on Climate at World Resources Institute (WRI), ranked the most influential think tank in the world  on environmental issues",NGO,,,,,,,
Luis Manuel CAPOULAS SANTOS,Portugal,S&D,Socialist Party,European Parliament,MEP,"Minister of Agriculture, Forests and Rural Development in Portugal ",Elected office & public sector,,,,,,,
Salvatore CARONNA,Italy,PASD,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Maria Da Graça CARVALHO,Portugal,EPP,Social Democratic Party,European Parliament,MEP,Advisor European Commission,Elected office & public sector,,,,,,,
Michael CASHMAN,United Kingdom,PASD,Labour Party,European Parliament,MEP,Member of the House of Lords ,Elected office & public sector,,,,,,,
Carlo CASINI,Italy,EPP,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Françoise CASTEX,France,S&D,Socialist Party,European Parliament,MEP,No updated information available,Unknown,,,No info available ,,,,Raphael 
Alejandro CERCAS,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Member of the Spanish Parliament,Elected office & public sector,,,,,,,
Andrea ?EŠKOVÁ,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Jorgo CHATZIMARKAKIS,Germany,ALDE,Free Democratic Party,European Parliament,MEP,Secretary General of Hydrogen Europe ,Brussels-focussed lobbying,,https://www.linkedin.com/in/jorgo-chatzimarkakis-50685b11a,,,,,Raphael
Giles CHICHESTER,United Kingdom,ECR,Conservative Party,European Parliament,MEP,Mayor of Plymouthq,Elected office & public sector,,,History: http://www.telegraph.co.uk/news/2080844/Giles-Chichester-resigns-as-Tory-leader-in-European-Parliament-over-expenses-scandal.html,,,,
Nikos CHRYSOGELOS,Greece,Greens-EFA,Prasinio,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Philip CLAEYS,Belgium,NI,Flemish Interest,European Parliament,MEP,Vice-President of the Vlaams Belang party ,Elected office & public sector,,http://www.vlaamsbelang.org/partijbestuur/,No furthe info available ,,,,Raphael
Derek Roland CLARK,United Kingdom,EFD,UK Independence Party,European Parliament,MEP,Retired,Retired,,https://en.wikipedia.org/wiki/Derek_Clark,Born in 1933. Most likely retired ,,,,Raphael 
Minodora CLIVETI,Romania,S&D,PSD,European Parliament,MEP,"lawyer at Societate civila de avocati""Cliveti&Cliveti""Bacau",lawyer,,,,,,,
Yves COCHET,France,Greens-EFA,Europe écologie,European Parliament,MEP,President of of the Momentum Institute ,Academic,,http://www.institutmomentum.org/qui-sommes-nous/,Instute provides research on the anthopecene,,,,Raphael
Daniel COHN-BENDIT,France,Greens-EFA,Europe Ecology (The Greens),European Parliament,MEP,Writer/Moderator,Media,,,,,,,
Giovanni COLLINO,Italy,EPP,0,European Parliament,MEP,"President of Olos srl, a company that helps public and private entities to obtain European, national and regional fundingdeals",Brussels-focussed lobbying,,,Helping to get funding is lobbying under the Transparency Register,,,,
Trevor COLMAN,United Kingdom,NI,UK Independence Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,Raphael 
Marije CORNELISSEN,Netherlands,Greens-EFA,GreenLeft,European Parliament,MEP,"Consultant for Cornelissen Consultancy EU, UN Women's Representative of the Netherlands 2016",Brussels-focussed lobbying,,,,,,,
María Auxiliadora CORREA ZAMORA,Spain,PPE,PP,European Parliament,MEP,No updated information available,Unknown,,,,,,,
António Fernando CORREIA DE CAMPOS,Portugal,S&D,Socialist Party,European Parliament,MEP,Journalist,Media,,,,,,,
Ricardo CORTÉS LASTRA,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Lawyer,lawyer,,,,,,,
Emer COSTELLO,Ireland,S&D,Labour Party,European Parliament,MEP,Labour Party Dublin City Coucillor for the North Inner City,Elected office & public sector,,,,,,,
Jean Louis COTTIGNY,France,S&D,PS,European Parliament,MEP,"Vice-Président du Conseil Départemental 62, Vice-Président de Pas-de-Calais habitat",Elected office & public sector,,,,,,,
Jürgen CREUTZMANN,Germany,ALDE,Free Democratic Party,European Parliament,MEP,Treasurer for the FDP Rheinland-Pfalz ,Elected office & public sector,,http://www.fdp-rlp.de/page/landesvorstand-partei,,,,,
Rosario CROCETTA,Italy,PASD,0,European Parliament,MEP,President of Sicily,Elected office & public sector,,,,,,,
Tarja CRONBERG,Finland,Greens-EFA,Vihreät,European Parliament,MEP,"Associate Fellow European Security, Stockholm International Peace Research Institute",Academic,,,,,,,
Joaquim CRUZ,Portugal,PPE,PSD,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Joseph CUSCHIERI,Malta,S&D,Labour Party,European Parliament,MEP,Ambassador of Malta to Greece,Elected office & public sector,,,,,,,
George Sabin CUTA?,Romania,S&D,Partidul Conservador,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Tadeusz CYMA?SKI,Poland,ECR,Law and Justice,European Parliament,MEP,Member of the Polish Parliament,Elected office & public sector,,,,,,,
Frédéric DAERDEN,Belgium,S&D,Socialist Party,European Parliament,MEP,Député fédéral et Bourgmestre de la Ville de Herstal,Elected office & public sector,,,,,,,
Spyros DANELLIS,Greece,S&D,PASOK,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Joseph DAUL,France,EPP,Union for a Popular Movement,European Parliament,MEP,Executive Board Member- Martens Centre ,Elected office & public sector,,,,,,,
Mário DAVID,Portugal,EPP,Social Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Chris DAVIES,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,"Set up his own firm, Chris Davies Ltd, specialised in political and environmental consultancy",Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/chris-davies,,,,,
Francesco DE ANGELIS,Italy,PASD,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Bairbre de BRÚN,United Kingdom,GUE/NGL,Sinn Féin,European Parliament,MEP,No updated information available,Unknown,,,No information available ,,,,Raphael
Jean-Luc DEHAENE,Belgium,EPP,Christian Democratic and Flemish,European Parliament,MEP,died in 2014,Deceased,,,,,,,
Véronique DE KEYSER,Belgium,S&D,Socialist Party,European Parliament,MEP,Conseillere communale a Liege ,Elected office & public sector,,,,,,,
Anne DELVAUX,Belgium,EPP,Humanist Democratic Centre,European Parliament,MEP,"Coach, media/trainer and mentorship",Media,,,,,,,
Luigi de MAGISTRIS,Italy,ALDE,0,European Parliament,MEP,Mayor of Naples,Elected office & public sector,,,,,,,
Susy DE MARTINI,Italy,EPP,0,European Parliament,MEP,Neurologue,Other,,,,,,,
Luigi Ciriaco DE MITA,Italy,PPE,UDC,European Parliament,MEP,Mayor of Nusco,Elected office & public sector,,,,,,,
Proinsias DE ROSSA,Ireland,S&D,Labour Party,European Parliament,MEP,Chair of TASC (Think Tank for Action on Social Change),Academic,,,,,,,
Harlem DÉSIR,France,S&D,Socialist Party,European Parliament,MEP,Secretary of State for European Affairs ,Elected office & public sector,,,,,,,
Christine DE VEYRAC,France,EPP,Union for a Popular Movement,European Parliament,MEP,Chargee de mission aupres du College des ingenieurs ,Academic,,,,,,,
Roberto DIETRICH,Romania,ALDE,PNL,European Parliament,MEP,Recruiter at Marquardt Group ,Private Sector,,,,,,,
Leonardo DOMENICI,Italy,PASD,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Leonidas DONSKIS,Lituania,ALDE,Liberal Movement,European Parliament,MEP,Member of Maceva advisory board,NGO,,,,,,,
Dimitrios DROUTSAS,Greece,S&D,PASOK,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Andrew DUFF,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,Writer/Blogger. Advisory Board member of Transparency International EU. Senior Advisor at European Policy Centre ,Media,,http://www.epc.eu/team.php?dept_id=7,Need to verify classification ,,,,Raphael
Isabelle DURANT,Belgium,Greens-EFA,Ecology Party,European Parliament,MEP,membre du Parlement de la Région de Bruxelles-Capitale,Elected office & public sector,,,,,,,
Robert DUŠEK,Czech Republic,S&D,Social Democratic Party,European Parliament,MEP,Managing director and partner at Claridad Ltd. (dissolved on 26 April 2016),Unknown,,,,,,,
Martin EHRENHAUSER,Austria,NI,Hans-Peter Martin's List,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Lena EK,Sweden,ALDE,Centre Party,European Parliament,MEP,Member of the Swedish Parliament,Elected office & public sector,,,,,,,
Saïd EL KHADRAOUI,Belgium,S&D,Socialist Party–Differently,European Parliament,MEP,Adviser at European Political Strategy Centre - European Commission,Elected office & public sector,,,,,,,
James ELLES,United Kingdom,ECR,Conservative Party,European Parliament,MEP,Chairman of the management committee of the transatlantic policy network ,Potential,,http://www.tpnonline.org/organisation/whos-who/,Check what James is up to. Internet Foundation is not his job.,,,The TPN has been active in lobying in favour of the TTIP,Raphael
Ioan ENCIU,Romania,S&D,Social Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Christian ENGSTRÖM,Sweden,Greens-EFA,Pirate Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Derk Jan EPPINK,Belgium,ECR,"List Dedecker / Libertarian, Direct, Democratic",European Parliament,MEP,Senior Fellow at London Center for Policy Research,Potential,http://www.londoncenter.org/about/about-london-center/,http://www.djeppink.eu/,London Center for Policy Research is active in lobbying efforts  in the US Congress ,,,,Raphael 
Sari ESSAYAH,Finland,EPP,Christian Democrats,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Edite ESTRELA,Portugal,S&D,Socialist Party,European Parliament,MEP,Member of the Portuguese Parliament ,Elected office & public sector,,,,,,,
Hynek FAJMON,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Richard FALBR,Czech Republic,S&D,Social Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Göran FÄRM,Sweden,S&D,Social Democratic Party,European Parliament,MEP,Senior Advisor Diplomat Communications,Consulting,,,,,,,
Diogo FEIO,Portugal,EPP,Democratic and Social Centre–People's Party,European Parliament,MEP,"Socialist councilor in Norrköping, president of the Kommuninvest Cooperative Society",Elected office & public sector,,,,,,,
Carlo FIDANZA,Italy,EPP,0,European Parliament,MEP,"Commissioner at ""In Liguria"" agency (tourism). ",Elected office & public sector,,,,,,,
Ilda FIGUEIREDO,Portugal,GUE/NGL,Democratic Unity Coalition (Communist Party),European Parliament,MEP,Deputy of the Portuguese communist party ,Elected office & public sector,,,,,,,
V?ra FLASAROVÁ,Czech Republic,GUE/NGL,KSCM,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Hélène FLAUTRE,France,Greens-EFA,Europe Ecology (The Greens),European Parliament,MEP,Munipal Councilor in the city of Arras ,Elected office & public sector,,https://www.arras.fr/fr/elus,,,,,Raphael
Carmen FRAGA ESTÉVEZ,Spain,EPP,People's Party,European Parliament,MEP,membre de la commission de pêche de l’UE,Elected office & public sector,,,,,,,
Gaston FRANCO,France,EPP,Union for a Popular Movement,European Parliament,MEP,No updated information available,Unknown,,,,,,,Raphael
Franco FRIGO,Italy,S&D,PD,European Parliament,MEP,Owner of Studio Frigo,Other,,,,,,,
Pat the Cope GALLAGHER,Ireland,ALDE,Fianna Fáil,European Parliament,MEP,Member of the lower house of the Irish Parliament ,Elected office & public sector,,,,,,,
Marielle GALLO,France,EPP,Modern Left,European Parliament,MEP,Unkown,Unknown,,,Party membership is not a job?,,,No she is just a member of the UDI,Raphael
Vicente Miguel GARCÉS RAMÓN,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,"2nd vice-president, cerai.org",NGO,,,,,,,
Dolores GARCÍA-HIERRO CARABALLO,Spain,S&D,PSOE,European Parliament,MEP,No updated information available,Unknown,,,,,,,
