status,unregistered,ec_representative,created_at,updated_at,date,participants,location,ec_org,cancelled,deregistered,id,subject
active,,President Jean-Claude Juncker,2015-05-07T23:07:02.334619,2015-09-09T01:41:50.858591,2015-03-23T00:00:00,EUROPEAN TRADE UNION CONFEDERATION(98893fe0d2554088b253b817a47f535b),Brussels,,False,,b6ff9166366dec9517444a59182cb4a2,Meeting with Bernadette Segol - General Secretary ETUC
active,,Antoine Kasel,2015-05-07T23:07:02.866300,2015-09-09T01:41:53.135409,2015-03-06T00:00:00,WWF European Policy Programme(aac5ca5c751449f78d0c706904a23cd3),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,cb29fdd73b308d4f9b9e08868caa9daf,European Semester
active,,Antoine Kasel,2015-05-07T23:07:02.882420,2015-09-09T01:41:53.182182,2015-03-06T00:00:00,European Express Association(303384f8658c4c75be9abcb180b00bdc),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,d6d86aa0f2e97df28e3029ed77bff034,Tax issues
active,,Telmo Baltazar,2015-05-07T23:07:02.915050,2015-09-09T01:41:53.236201,2015-03-03T00:00:00,European Climate Foundation(a1f2638c81034e07a2ab3ed2c54e6097),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,13632fe0afb9d2c7331c1768af0ef739,Climate Action and Energy
inactive,,Pauline Rouch,2015-05-07T23:07:02.899330,2015-07-06T16:49:57.883439,2015-03-03T00:00:00,Netflix International(e60131c3a23043db98567453bcbb11d8),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,2f0e56a3e12c85195143e736b0e475e0,Digital Single Market
active,,Leon Delvaux,2015-05-07T23:07:02.932427,2015-09-09T01:41:53.279689,2015-03-03T00:00:00,Greenpeace European Unit(553809c289c74395993953b64d407835),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,1490627867968af8c7ee97e327c1d388,GMO review
active,,Martin Selmayr,2015-05-07T23:07:02.951812,2015-09-09T01:41:53.323827,2015-02-27T00:00:00,"McKinsey & Company, Inc.(d2f4f9f3921b45a0ab3330b84dfec128)","Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,39f5dc69ba313a9f12b466f637a9ae90,European Economic Recovery
active,,Sandra Kramer,2015-05-07T23:07:02.970856,2015-09-09T01:41:53.369904,2015-02-27T00:00:00,Cisco Systems Inc.(1c65fd9f827b42048971e4da4ae1eb94),Berlaymont - Brussels,Cabinet members of President Jean-Claude Juncker,False,,e2f8979f0347ea58367c191ba026bd79,General developments in digitalisation
active,,Telmo Baltazar Martin Selmayr,2015-05-07T23:07:03.003519,2015-09-09T01:41:53.453390,2015-02-26T00:00:00,Verband der Automobilindustrie(996c56b9a1354c5392858792eb95261b),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,cda1e0ddb25bd9e437556e43aaac2e39,Current EU Policy Issues
inactive,,Pauline Rouch Martin Selmayr,2015-05-07T23:07:02.995818,2015-07-06T16:49:58.079957,2015-02-26T00:00:00,European Publishers Council(85a8f63925ff4982b3637cd7809fb751),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,ef8009e4a4a0e7cebb097a4284bc6fe9,Working lunch
inactive,,Carlo Zadra,2015-05-07T23:07:03.431451,2015-06-16T01:01:09.703699,2015-01-28T00:00:00,Community Public Affairs(8b390867355549e495b53ccf0bf33677),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,1f2d6efe2928c4315f4af6fdd606dbb7,Data Protection Package
active,,Pauline Rouch,2015-05-07T23:07:03.013639,2015-09-09T01:41:53.509860,2015-02-19T00:00:00,LVMH Publica(f4adfc02d5fb4e9ca729dcd67fd56251),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,40e40f9573fb4cf2f33bdbde486321d7,Digital Single Market
active,,Pauline Rouch,2015-05-07T23:07:03.045178,2015-09-09T01:41:53.575097,2015-02-17T00:00:00,"Channel 4(432a3437019f48f3b5de719fdb01900a), British Broadcasting Corporation(c0d3ea246e3a4f89a28a77737ca5b19e), ARD Verbindungsbüro Brüssel(ad9c41f3b1ed4f98b917c64ffe23a361), Zweites Deutsches Fernsehen(df61c4281bb04deebbe03dea77f9be11)","Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,24e73140873b53b20b169a4e31aba5fc,Digital Single Market
active,,Paulina Dejmek Hack,2015-05-07T23:07:03.122622,2015-09-09T01:41:53.665627,2015-02-17T00:00:00,Investor AB(abf24158480749239e283112dd18e9a0),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,bd20f5403fb6b36d6f7b95cf94bdb249,Investment Plan
active,,Telmo Baltazar,2015-05-07T23:07:03.139373,2015-09-09T01:41:53.699645,2015-02-17T00:00:00,Federazione Imprese Siderurgiche Italiane(94fbaacea67446cc9530b8cc5892e442),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,2e4754eb811d2625c344d3efa351f33d,Energy Union
active,,Paulina Dejmek Hack,2015-05-07T23:07:03.159976,2015-09-09T01:41:53.724864,2015-02-11T00:00:00,ONE(878e394083f342588f01610bc01f038b),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,f4779e6489dfd304b3e787464d00d6ee,Priorities of the new Commission
active,,Leon Delvaux,2015-05-07T23:07:03.177816,2015-09-09T01:41:53.747170,2015-02-11T00:00:00,FELULA SA(ea83ed783a0c4993a350549622716015),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,d44b84817af7559bf48098c6d2e7c1bf,Trade
active,,Telmo Baltazar,2015-05-07T23:07:03.195574,2015-09-09T01:41:53.768127,2015-02-05T00:00:00,Robert Bosch GmbH(3ae7e80fa89f4d3cba21b1fa1e2ac219),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,9fc3df4fa6dc5238ea02d93d55ae24e3,Energy Union
active,,Leon Delvaux,2015-05-07T23:07:03.215794,2015-09-09T01:41:53.795379,2015-02-04T00:00:00,EuroHealthNet(6c2c482faafd4bac92958ff010a1537b),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,29d3a16d4fe528e0a9b50788bec9008c,Health matters
active,,Carlo Zadra,2015-05-07T23:07:03.234255,2015-09-09T01:41:53.822302,2015-02-04T00:00:00,The European House - Ambrosetti(dbe4085c19fa4db6ab5a51e4e088e4be),Brussels Belgium,Cabinet members of President Jean-Claude Juncker,False,,bdbf1836e28e2e04e80185e0c33b7421,"Mr De Molli, CEO, asked to introduce the company and illustrate this year's Forum"
active,,Telmo Baltazar,2015-05-07T23:07:03.249690,2015-09-09T01:41:53.851042,2015-02-04T00:00:00,AREVA SA(aaf4d636bdae4c839d549994afeb1c0f),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,d174d39735fdb17fb7f45e0d2344fe5c,Energy Union
active,,Pauline Rouch,2015-05-07T23:07:03.268995,2015-09-09T01:41:53.875984,2015-02-04T00:00:00,eBay EU liaison office(5ce4282aebc64622a62c5d50ab8a8ba2),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,63582563ea1ff20556453083f31032d3,Digital Single Market
active,,Clara Martinez Alberola,2015-05-07T23:07:03.283323,2015-09-09T01:41:53.898952,2015-02-04T00:00:00,SALESAS TRES CENTRO DE ESTUDIOS(bc9726731331421187de7bb5d8314a4e),Berlaymont,Cabinet members of President Jean-Claude Juncker,False,,5158a1a58d1bc0fdf3b619c9301b2086,Meeting between Ms Martinez Alberola and Ana Palacio
active,,Pauline Rouch,2015-05-07T23:07:03.301104,2015-09-09T01:41:53.937521,2015-02-03T00:00:00,European Association of Internet Services Providers(ad4343059d4a487ca186bade9076487b),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,434296d4b403261253c66215e785295b,Digital Single Market
active,,Paulina Dejmek Hack,2015-05-07T23:07:03.320531,2015-09-09T01:41:53.977082,2015-01-30T00:00:00,Aviva Plc(db7935b85ade44f3a5b003a272eae291),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,56c6321eed7a52f5e94384bca9c83bdf,Capital Markets Union
active,,Leon Delvaux,2015-05-07T23:07:03.338491,2015-09-09T01:41:54.018806,2015-01-30T00:00:00,Federazione Imprese Siderurgiche Italiane(94fbaacea67446cc9530b8cc5892e442),Brussels,Cabinet members of President Jean-Claude Juncker,False,,124b6def018a803932bf661411c089cc,Trade
active,,Telmo Baltazar,2015-05-07T23:07:03.356727,2015-09-09T01:41:54.059987,2015-01-29T00:00:00,Association française du gaz(661032156e3143f7be08a999b48e23d8),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,29b1e354023d017f6d3e544f401f1780,Energy Union
active,,Pauline Rouch,2015-05-07T23:07:03.374494,2015-09-09T01:41:54.092589,2015-01-29T00:00:00,BT Group plc(388d31d917304c4f859b029541786e9d),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,b313c7749c1e16e6865bc46d4ecc30e6,Digital Single Market
