status,unregistered,ec_representative,created_at,updated_at,date,participants,location,ec_org,cancelled,deregistered,id,subject
active,,Paulina Dejmek Hack,2015-11-12T13:31:07.046343,2015-11-12T13:31:07.045125,2014-12-11T00:00:00,Deutsche Bank AG(32b9142f830c41b7a7ab8b85d04fd6a4),"Brussels, Belgium",Presidency,False,,1b0e70beff6043bdd76a34ccb51458e7,Investment Plan
active,,Telmo Baltazar,2015-11-12T13:31:07.058343,2015-11-12T13:31:07.056634,2014-12-11T00:00:00,Centre for European Policy Studies(14e841815d9a4293b247f22ec9ac5754),"Brussels, Belgium",Presidency,False,,d10e781a3d8478f5b479d533fecbf39f,Energy union
active,,Telmo Baltazar,2015-11-12T13:31:07.079575,2015-11-12T13:31:07.068216,2014-12-11T00:00:00,European Alliance to Save Energy(788c9b041aa442e8a649697ae0c3ea0c),"Brussels, Belgium",Presidency,False,,ebdaad58761cd720f5116b0c03e2ee92,Investment in Europe & Energy Union
active,,Leon Delvaux,2015-11-12T13:31:07.096818,2015-11-12T13:31:07.096049,2014-12-10T00:00:00,Stop TTIP(8415bc80b6a24fd0927e67223dfadada),"Brussels, Belgium",Presidency,False,,a0b9c6b226f36c265828031d3c703822,TTIP
active,,Pauline Rouch,2015-11-12T13:31:07.113244,2015-11-12T13:31:07.112503,2014-12-10T00:00:00,"AT&T, Inc.(79faa0195e9349e4b8d806fc7403f915)","Brussels, Belgium",Presidency,False,,faf0a7adff3937b24993a2851cb7e928,Digital Single Market
active,,Paulina Dejmek Hack,2015-11-12T13:31:07.144325,2015-11-12T13:31:07.136803,2014-12-10T00:00:00,Société Générale(9bf1dc7e52ce47298bafc340362bbc89),"Brussels, Belgium",Presidency,False,,2fe94a742e19b1d57104e7ff82a6680f,Investment Plan
active,,Telmo Baltazar,2015-11-12T13:31:07.164556,2015-11-12T13:31:07.157851,2014-12-10T00:00:00,Verband der Automobilindustrie(996c56b9a1354c5392858792eb95261b),"Brussels, Belgium",Presidency,False,,a5dfe83132a81f5abb78265b3851f0eb,Investing in Europe and Energy Union
active,,Telmo Baltazar,2015-11-12T13:31:07.189442,2015-11-12T13:31:07.173979,2014-12-09T00:00:00,Flughafen Wien AG(c3d9e19a281e4c17aed9e0bc26c0e15f),"Brussels, Belgium",Presidency,False,,894a7ec93481c3c9e2385324550c1dcb,Investment in Europe
active,,Martin Selmayr,2015-11-12T13:31:07.200844,2015-11-12T13:31:07.199617,2014-12-09T00:00:00,,Brussels,Presidency,False,Jens-Peter Bonde(060587815138-96),acdef2c325b705764a6ca1956c79aa15,Education system in Denmark
active,,Telmo Baltazar,2015-11-12T13:31:07.227481,2015-11-12T13:31:07.213689,2014-12-08T00:00:00,Centre for European Policy Studies(14e841815d9a4293b247f22ec9ac5754),Brussels,Presidency,False,,25897985fc66638c1a256663cfb84cfb,Meeting on Energy policy and regulation & Climate change policy
