ID,Name,Link_image,Country,Political_group,Party,Institution,Previous_position,New_position,category_pie,category_bar,brussel_lobbying,Link_profile,Link_source,group2,Description,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents",Link Transparency register
4346,Miguel Angel MARTÍNEZ MARTÍNEZ,,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Retired (born in 1940),Others,Retired,no,,https://es.wikipedia.org/wiki/Miguel_%C3%81ngel_Mart%C3%ADnez_Mart%C3%ADnez,PSOE,,,,Raphael,,,,,
1665,Salvador GARRIGA POLLEDO,,Spain,EPP,People's Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,https://ca.wikipedia.org/wiki/Salvador_Garriga_Polledo,PP,Confirmed,,,Raphael,,,,,
28362,Jaime MAYOR OREJA,,Spain,EPP,People's Party,European Parliament,MEP,President de la Fundación Valores y Sociedad (promotes the values of Christianity in society) ,"Non-governmental organisations, platforms and networks and similar",NGOs,no,,,PP,,,http://www.valoresysociedad.org/patronato/,Raphael,,,,,
1873,Íñigo MÉNDEZ DE VIGO,,Spain,EPP,People's Party,European Parliament,MEP,"Ministro de Educación, Cultura y Deporte y Diputado por Palencia",Elected office & public sector,Elected office,no,,http://www.mecd.gob.es/ministerio-mecd/ministro.html,PP,,,,Raphael,,,,,
96866,Salvatore CARONNA,,Italy,S&D,Democratic Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,Democratic Party,,,,Raphael,,,,,
96818,Salvatore IACOLINO,,Italy,EPP,Forza Italia,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,FI,Still politcally active but does not hold any Public sector,,,Raphael,,,,,
39722,Sebastian Valentin BODU,,Romania,EPP,Democratic Liberal Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,"Sounds strange, he is very young and high profile politician ",,,Raphael,,,,,
96755,Sergio Paolo Francesco SILVESTRIS,,Italy,EPP,The people of freedom,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,,,,Raphael,,,,,
4328,Raimon OBIOLS,,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Born in 1940. Most likely retired ,Others,Retired,no,,https://ca.wikipedia.org/wiki/Raimon_Obiols_i_Germ%C3%A0,PSOE,,,,Raphael,,,,,
111019,Eva ORTIZ VILELLA,,Spain,EPP,People's Party,European Parliament,MEP,Coordinator of the PP in the Valencia region.,Elected office & public sector,Political parties,no,,http://www.elmundo.es/comunidad-valenciana/2015/07/31/55bb5ecf268e3e90798b4585.html,,,,,Raphael,,,,,
96989,Andrés PERELLÓ RODRÍGUEZ,,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,"lawyer, writer",Private Sector,Law firms,no,,https://www.facebook.com/andres.perellorodriguez/about?section=education&pnref=about,PSOE,,,,Raphael,,,,,
28349,Teresa RIERA MADURELL,,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,President of the Socialist Party in the Baleares ,Elected office & public sector,Political parties,no,,https://es.wikipedia.org/wiki/Teresa_Riera,PSOE,,,,Raphael,,,,,
96990,Carmen ROMERO LÓPEZ,,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,temporary out of job due to cancer disease,Others,Retired,no,,,PSOE,,,,Raphael,,,,,
28409,Raül ROMEVA i RUEDA,,Spain,Greens/EFA,The Left ( Initiative for Catalonia Greens),European Parliament,MEP,"Minister of Foreign Affairs, Institutional Relations & Transparency, Catalan Government.",Elected office & public sector,Elected office,no,,https://goo.gl/dPBGmK,,,,,Raphael,,,,,
96782,Sidonia Elzbieta JEDRZEJEWSKA,,Poland,EPP,Civic Platform,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,PO,Confirm,,,Raphael,,,,,
36281,Silvia-Adriana TICAU,,Romania,S&D,Social Democratic Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,Confirm,,,Raphael,,,,,
111018,Salvador SEDÓ i ALABART,,Spain,EPP,Coalition for Europe ( Democratic Union of Catalonia),European Parliament,MEP,Senator ,Elected office & public sector,Elected office,no,,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?lang=en&id1=16125&legis=10,,,,,Raphael,,,,,
4308,Alejo VIDAL-QUADRAS,,Spain,EPP,Popular Party,European Parliament,MEP,"President of the ISJ Committee (Brussels based), President of the Concordia Foundation, Columnist for Vox populi and collaborator for Onda Cero Radio ","Non-governmental organisations, platforms and networks and similar",NGOs,yes ,,https://goo.gl/TY2ufj,PP,,,,Raphael,,,,,
28278,Luis YÁÑEZ-BARNUEVO GARCÍA,,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Retired,Others,Retired,no,,https://es.wikipedia.org/wiki/Luis_Y%C3%A1%C3%B1ez,,,,,Raphael,,,,,
108570,Amelia ANDERSDOTTER,,Sweden,Greens/EFA,Pirate Party,European Parliament,MEP,Chairman of dataskydd (NGOs fighting for dataprotection). Advisory member of Internet Governance Forum (U.N.,"Non-governmental organisations, platforms and networks and similar",NGOs,yes ,,https://www.facebook.com/aandersdotter/about?section=education&pnref=about,,Registered in the TR but does not seem to lobby in the EU ,,,Raphael,,,,,
28127,Lena EK,,Sweden,ALDE,Centre Party,European Parliament,MEP,Member of the Swedish Parliament,Elected office & public sector,Elected office,no,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/lena-ek_0438928446810,C,,,,Raphael,,,,,
97086,Sonia ALFANO,,Italy,ALDE,Italy of Values,European Parliament,MEP,President of the Italian Anti/ mafia commission,Unknown,Unknown,Unknown,,,IdV,This Commission no longer exist. ,,,Raphael,,,,,
4265,Göran FÄRM,,Sweden,S&D,Social Democratic Party,European Parliament,MEP,Senior Advisor at Diplomat Communications,Private Sector,Consultancies,yes ,,https://www.linkedin.com/in/g%C3%B6ran-f%C3%A4rm-54a300a2,,Diplomat Comms provides EU focussed lobbying through its partner organisation Cabinet DN ,,http://diplomatcom.com/en/what-we-do/public-affairs/,Raphael,,,,,
1407,Stephen HUGHES,,United Kingdom,S&D,Labour Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,,,,Raphael,,,,,
118708,Susy DE MARTINI,,Italy,EPP,Forza Italia,European Parliament,MEP,Neurologue. Could not find current occupation ,Unknown,Unknown,Unknown,,,FI,,,,Raphael ,,,,,
110365,Kent JOHANSSON,,Sweden,ALDE,Centre Party,European Parliament,MEP,CHairman of the Swedish classification committee currently overseeing a large transformation of swedish counties into larger regional entities ,Elected office & public sector,Public authorities,no,,http://www.sou.gov.se/indelningskommitten/kontakta-oss/,C,,,,Raphael,,,,,
