Nr,Name,coutry,Political_group,Party,Institution,mandate,pre_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,Comments,party2,Description,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents",
2173,Arlene McCARTHY,United Kingdom,S&D,Labour Party,European parliament,MEP,MEP,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/rev/2173_11-12-2012_Rev2.pdf,yes,,,https://corporateeurope.org/revolvingdoorwatch/cases/arlene-mccarthy http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=114802815648-64,,,,,Raphael,ttp://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=114802815648-64,
28130,Åsa WESTLUND,Sweden,S&D,Social Democratic Party,European parliament,MEP,Political secretary for the social democratic party,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/28130_16-02-2012.pdf,no,,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/asa-westlund_73281fee-b276-4150-8cf0-fd3368b3c5c6,,,,,Raphael,,
1186,Astrid LULLING,Luxembourg,EPP,Christian Social People's Party,European parliament,MEP,MEP,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/rev/1186_16-01-2012_Rev2.pdf,no,,,https://en.wikipedia.org/wiki/Astrid_Lulling,,,,,Raphael,,
28511,Bairbre de BRÚN,United Kingdom,GUE/NGL,Sinn Féin,European parliament,MEP,Member of the Northern Ireland Assembly,Public Sector,Elected office,,2,http://www.europarl.europa.eu/ep-dif/28511_27-04-2012.pdf,Unknown,,,,,No information available,,,Raphael,,
28511,Bairbre de BRÚN,United Kingdom,GUE/NGL,Sinn Féin,European parliament,MEP,Exective Minister for Notthern Ireland,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/28511_27-04-2012.pdf,,,,,,,,,,,
1907,Barbara WEILER,Germany,S&D,Social Democratic Party,European parliament,MEP,MP in the German Bundestag,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/1907_27-03-2012.pdf,Unknown,,,,,,,,TI-DE,,
4529,Baroness Sarah LUDFORD,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,MEP since 1999,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/rev/4529_21-02-2012_Rev2.pdf,no,,,https://www.parliament.uk/biogRaphaelies/lords/baroness-ludford/1867,LibDem,,,,Raphael,,
96904,Barry MADLENER,Netherlands,NI,Party for Freedom,European parliament,MEP,MP for the Dutch parliament,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/96904_07-02-2012.PDF,no,,,https://www.tweedekamer.nl/kamerleden/alle_kamerleden/madlener-b-pvv,PVV,,,,Raphael,,
28145,Béla GLATTFELDER,Hungary,EPP,Fidesz–Hungarian Civic Union,European parliament,MEP,Secretary of State of the Ministry of Economy,Public Sector,Elected office,,4,http://www.europarl.europa.eu/ep-dif/28145_06-03-2012.pdf,,,,,,,,,,,
28145,Béla GLATTFELDER,Hungary,EPP,Fidesz–Hungarian Civic Union,European parliament,MEP,Member of the Hungarian parliament,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/28145_06-03-2012.pdf,no,,,,,,,,TI-HU,,
