name,id,voted,votes,percent,active
"Evelyn REGNER",96998,279,285,97.89,True
"Teresa RODRIGUEZ-RUBIO",125033,279,285,97.89,True
"Sven SCHULZE",124809,279,285,97.89,True
"Peter SIMON",96836,279,285,97.89,True
"Renate WEBER",39713,279,285,97.89,True
"Kristina WINBERG",124995,279,285,97.89,True
"Kosma ZŁOTOWSKI",124884,279,285,97.89,True
"Krystyna ŁYBACKA",124883,279,285,97.89,True
"Clara Eugenia AGUILERA GARCÍA",125045,278,285,97.54,True
"Marie-Christine ARNAUTU",124748,278,285,97.54,True
"Richard ASHWORTH",28132,278,285,97.54,True
"Margrete AUKEN",28161,278,285,97.54,True
"Hugues BAYET",125002,278,285,97.54,True
"Michał BONI",124896,278,285,97.54,True
"Renata BRIANO",124787,278,285,97.54,True
"James CARVER",124971,278,285,97.54,True
"Dita CHARANZOVÁ",124708,278,285,97.54,True
"Javier COUSO PERMUY",125997,278,285,97.54,True
"Gérard DEPREZ",1473,278,285,97.54,True
"Albert DESS",28228,278,285,97.54,True
"João FERREIRA",96706,278,285,97.54,True
"Bolesław G. PIECHA",124874,278,285,97.54,True
"Jens GEIER",96833,278,285,97.54,True
"Nathalie GRIESBECK",28208,278,285,97.54,True
"Rebecca HARMS",28233,278,285,97.54,True
"Jan HUITEMA",58789,278,285,97.54,True
"Pablo IGLESIAS",125031,278,285,97.54,True
"Marek JUREK",124892,278,285,97.54,True
"Svetoslav Hristov MALINOV",111027,278,285,97.54,True
"Notis MARIAS",125069,278,285,97.54,True
"Dominique MARTIN",124751,278,285,97.54,True
"Angelika MLINAR",125026,278,285,97.54,True
"Siegfried MUREŞAN",124802,278,285,97.54,True
"Salvatore Domenico POGLIESE",124853,278,285,97.54,True
"Emil RADEV",124850,278,285,97.54,True
"Jozo RADOŠ",112753,278,285,97.54,True
"Alfred SANT",124781,278,285,97.54,True
"Christel SCHALDEMOSE",37312,278,285,97.54,True
"Elly SCHLEIN",124804,278,285,97.54,True
"Andreas SCHWAB",28223,278,285,97.54,True
"Molly SCOTT CATO",124942,278,285,97.54,True
"Remo SERNAGIOTTO",124794,278,285,97.54,True
"Pedro SILVA PEREIRA",124747,278,285,97.54,True
"Helga STEVENS",125105,278,285,97.54,True
"József SZÁJER",23821,278,285,97.54,True
"Romana TOMC",125104,278,285,97.54,True
"Ernest URTASUN",124972,278,285,97.54,True
"Ivo VAJGL",97019,278,285,97.54,True
"Ramón Luis VALCÁRCEL",125032,278,285,97.54,True
"Sabine VERHEYEN",96756,278,285,97.54,True
"Harald VILIMSKY",125001,278,285,97.54,True
"Udo VOIGT",124832,278,285,97.54,True
"Sotirios ZARIANOPOULOS",125090,278,285,97.54,True
"Bogdan Andrzej ZDROJEWSKI",124893,278,285,97.54,True
"Sophia in 't VELD",28266,278,285,97.54,True
"Matthijs van MILTENBURG",125022,278,285,97.54,True
"Dubravka ŠUICA",119434,278,285,97.54,True
"Urmas PAET",129073,141,145,97.24,True
"Tom VANDENKENDELAERE",129164,141,145,97.24,True
"Isabella ADINOLFI",124831,277,285,97.19,True
"Dominique BILDE",124771,277,285,97.19,True
"Victor BOŞTINARU",39711,277,285,97.19,True
"Karima DELLI",96868,277,285,97.19,True
"Anna Elżbieta FOTYGA",28353,277,285,97.19,True
"Eider GARDIAZABAL RUBIAL",96991,277,285,97.19,True
"Ivan JAKOVČIĆ",124754,277,285,97.19,True
"Afzal KHAN",124962,277,285,97.19,True
"Jan OLBRYCHT",28288,277,285,97.19,True
"Pier Antonio PANZERI",28365,277,285,97.19,True
"Marit PAULSEN",4270,277,285,97.19,True
"Tonino PICULA",112744,277,285,97.19,True
"Dariusz ROSATI",28394,277,285,97.19,True
"Neoklis SYLIKIOTIS",124689,277,285,97.19,True
"Adam SZEJNFELD",124890,277,285,97.19,True
"Josef WEIDENHOLZER",111014,277,285,97.19,True
"Hermann WINKLER",96764,277,285,97.19,True
"Janusz ZEMKE",96784,277,285,97.19,True
"Anna ZÁBORSKÁ",23894,277,285,97.19,True
"Lambert van NISTELROOIJ",28165,277,285,97.19,True
"Mario BORGHEZIO",21817,276,285,96.84,True
"Marie-Christine BOUTONNET",124753,276,285,96.84,True
"Gianluca BUONANNO",124869,276,285,96.84,True
"Reimer BÖGE",1037,276,285,96.84,True
"Daniel CASPARY",28219,276,285,96.84,True
"Ryszard CZARNECKI",28372,276,285,96.84,True
"Georgios EPITIDEIOS",125071,276,285,96.84,True
"Sergio GUTIÉRREZ PRIETO",103488,276,285,96.84,True
"Martin HÄUSLING",96752,276,285,96.84,True
"Krišjānis KARIŅŠ",96901,276,285,96.84,True
"Zdzisław KRASNODĘBSKI",124891,276,285,96.84,True
"Gilles LEBRETON",124738,276,285,96.84,True
"Jörg LEICHTFRIED",28251,276,285,96.84,True
"Bogusław LIBERADZKI",23768,276,285,96.84,True
"Jean-Luc MÉLENCHON",96742,276,285,96.84,True
"Miroslav POCHE",124699,276,285,96.84,True
"Stanislav POLČÁK",124704,276,285,96.84,True
"Franck PROUST",108080,276,285,96.84,True
"Julia REID",106202,276,285,96.84,True
"Terry REINTKE",103381,276,285,96.84,True
"Jutta STEINRUCK",96831,276,285,96.84,True
"Miguel VIEGAS",125100,276,285,96.84,True
"Linnéa ENGSTRÖM",128588,196,203,96.55,True
"Francisco ASSIS",28307,275,285,96.49,True
"Klaus BUCHNER",124818,275,285,96.49,True
"Richard CORBETT",2309,275,285,96.49,True
"Mariya GABRIEL",96848,275,285,96.49,True
"Enrico GASBARRA",124817,275,285,96.49,True
"Matthias GROOTE",34728,275,285,96.49,True
"Marek Józef GRÓBARCZYK",96790,275,285,96.49,True
"Jarosław KALINOWSKI",96771,275,285,96.49,True
"Bernd KÖLMEL",124824,275,285,96.49,True
"Bernd LUCKE",124820,275,285,96.49,True
"Ivana MALETIĆ",119436,275,285,96.49,True
"Gesine MEISSNER",96870,275,285,96.49,True
"Demetris PAPADAKIS",124692,275,285,96.49,True
"Ioan Mircea PAŞCU",33984,275,285,96.49,True
"Annie SCHREIJER-PIERIK",125030,275,285,96.49,True
"Bart STAES",4751,275,285,96.49,True
"Charles TANNOCK",4521,275,285,96.49,True
"Daniele VIOTTI",124791,275,285,96.49,True
"Carlos ZORRINHO",124739,275,285,96.49,True
"Dennis de JONG",96748,275,285,96.49,True
"Davor ŠKRLEC",124756,275,285,96.49,True
"Joëlle BERGERON",124740,274,285,96.14,True
"José BLANCO LÓPEZ",125044,274,285,96.14,True
"Biljana BORZAN",112748,274,285,96.14,True
"Paul BRANNEN",124954,274,285,96.14,True
"Peter ERIKSSON",124937,274,285,96.14,True
"Ramón JÁUREGUI ATONDO",97078,274,285,96.14,True
"Werner LANGEN",1928,274,285,96.14,True
"Barbara LOCHBIHLER",96728,274,285,96.14,True
"Ernest MARAGALL",124933,274,285,96.14,True
"Edouard MARTIN",124947,274,285,96.14,True
"Georg MAYER",38511,274,285,96.14,True
"Francisco José MILLÁN MON",28400,274,285,96.14,True
"David McALLISTER",124806,274,285,96.14,True
"Péter NIEDERMÜLLER",124723,274,285,96.14,True
"Robert ROCHEFORT",97022,274,285,96.14,True
"Fernando RUAS",124730,274,285,96.14,True
"Judith SARGENTINI",96815,274,285,96.14,True
"Csaba SÓGOR",39724,274,285,96.14,True
"Iuliu WINKLER",39725,274,285,96.14,True
"Sander LOONES",128717,195,203,96.06,True
"Heinz K. BECKER",107041,273,285,95.79,True
"Jean-Marie CAVADA",28206,273,285,95.79,True
"Miriam DALLI",124970,273,285,95.79,True
"Iratxe GARCÍA PÉREZ",28298,273,285,95.79,True
"Anja HAZEKAMP",125023,273,285,95.79,True
"Benedek JÁVOR",124721,273,285,95.79,True
"Fulvio MARTUSCIELLO",124828,273,285,95.79,True
"Miroslav MIKOLÁŠIK",28178,273,285,95.79,True
"Bernard MONOT",124761,273,285,95.79,True
"Claude MORAES",4519,273,285,95.79,True
"Maite PAGAZAURTUNDÚA RUIZ",125038,273,285,95.79,True
"Czesław Adam SIEKIERSKI",23787,273,285,95.79,True
"Michael THEURER",96871,273,285,95.79,True
"Henna VIRKKUNEN",124726,273,285,95.79,True
"Inês Cristina ZUBER",111589,273,285,95.79,True
"Jakob von WEIZSÄCKER",124840,273,285,95.79,True
"Jana ŽITŇANSKÁ",124901,273,285,95.79,True
"Jacqueline FOSTER",4553,272,285,95.44,True
"Eugen FREUND",125018,272,285,95.44,True
"Arne GERICKE",124815,272,285,95.44,True
"Ingeborg GRÄSSLE",28220,272,285,95.44,True
"Sylvie GUILLAUME",96952,272,285,95.44,True
"Krzysztof HETMAN",124895,272,285,95.44,True
"Paloma LÓPEZ BERMEJO",125047,272,285,95.44,True
"Nuno MELO",96978,272,285,95.44,True
"Monika SMOLKOVÁ",96655,272,285,95.44,True
"Kerstin WESTPHAL",96839,272,285,95.44,True
"Jadwiga WIŚNIEWSKA",124877,272,285,95.44,True
"Jonathan ARNOTT",124958,271,285,95.09,True
"Beatriz BECERRA BASTERRECHEA",125040,271,285,95.09,True
"Jerzy BUZEK",28269,271,285,95.09,True
"Elena GENTILE",124847,271,285,95.09,True
"Ana GOMES",28306,271,285,95.09,True
"Philippe JUVIN",96884,271,285,95.09,True
"Karol KARSKI",124887,271,285,95.09,True
"Merja KYLLÖNEN",124736,271,285,95.09,True
"Tamás MESZERICS",124720,271,285,95.09,True
"Louis MICHEL",96670,271,285,95.09,True
"Andrej PLENKOVIĆ",112755,271,285,95.09,True
"Pavel POC",96715,271,285,95.09,True
"Ulrike RODUST",93624,271,285,95.09,True
"Sofia SAKORAFA",125091,271,285,95.09,True
"Pavel SVOBODA",96272,271,285,95.09,True
"Elżbieta Katarzyna ŁUKACIJEWSKA",96791,271,285,95.09,True
